Source,Target,Type,Weight
Citrarata,Semar,Undirected,2
Rukmini,Abimanyu,Undirected,1
Sadewa,Kartamarma,Undirected,8
Banowati,Rama,Undirected,1
Maerah,Baladewa,Undirected,2
Madrim,Basudewa,Undirected,1
Guru,Rukmara,Undirected,1
Durga,Pradapa,Undirected,1
Bagaspati,NgembatLandeyan,Undirected,1
Nakula,Wilawuk,Undirected,2
Samba,Petruk,Undirected,6
Sadewa,Togog,Undirected,1
Werkudara,Narada,Undirected,11
Antaboga,Duryudana,Undirected,1
Baladewa,Brahma,Undirected,1
Gatotkaca,Anoman,Undirected,14
Sengkuni,Wisanggeni,Undirected,2
Pradapa,Nakula,Undirected,2
Parasara,Duryudana,Undirected,2
Dewasrani,Durga,Undirected,5
Gareng,Desamuka,Undirected,1
Kencana_Wulan,Duryudana,Undirected,1
Antareja,Kresna,Undirected,9
Karna,Desamuka,Undirected,1
Bagong,TunggulWulung,Undirected,1
Yuda_Kala_Kresna,Indra,Undirected,2
Banowati,Sugriwa,Undirected,1
Dewa_Ruci,Banowati,Undirected,1
Pancawala,Tambrapeta,Undirected,1
Ugrasena,Semar,Undirected,3
Baladewa,Abiyasa,Undirected,1
Drupadi,Nakula,Undirected,1
Sadewa,Wilawuk,Undirected,2
Wulan_Dremi,Abimanyu,Undirected,2
Desamuka,Wisnu,Undirected,1
Udawa,Duryudana,Undirected,3
Jembawati,Brahma,Undirected,1
Bomanarakasura,Samba,Undirected,2
Banowati,Ratmuka,Undirected,1
Durga,Wenang,Undirected,2
Soka,Kunti,Undirected,1
Gareng,Semar,Undirected,33
Desamuka,Anoman,Undirected,3
Durna,Narada,Undirected,6
Badrahini,Salya,Undirected,1
Gatotkaca,Bisawarna,Undirected,2
Bisawarna,Kartamarma,Undirected,1
Bisawarna,Sadewa,Undirected,1
Setyaki,Anoman,Undirected,7
Dewaki,Pandu,Undirected,2
Anoman,Bantala,Undirected,1
Kunti,Destarastra,Undirected,2
Ugrasena,Baladewa,Undirected,2
Barata,Petruk,Undirected,1
Guru,Kalika,Undirected,2
Rukmini,Desamuka,Undirected,1
Jembawati,Baladewa,Undirected,1
Petruk,Setyaki,Undirected,5
Durna,Wulan_Dremi,Undirected,1
Jaya_Bajra,Bagong,Undirected,1
Werkudara,Yuda_Kala_Kresna,Undirected,1
Udawa,TunggulWulung,Undirected,1
Durna,Wulan_Drema,Undirected,1
Guru,Arjuna,Undirected,13
Abiyasa,Nakula,Undirected,4
Gareng,Antasena,Undirected,1
Petruk,Gendari,Undirected,2
Banowati,Wisanggeni,Undirected,2
Werkudara,Puntadewa,Undirected,35
TunggulWulung,Abiyasa,Undirected,1
Mandrakeswara,Pandu,Undirected,1
Bismaka,Indra,Undirected,3
Brajadhenta,Semar,Undirected,1
Petruk,Nagagini,Undirected,1
Soka,Durga,Undirected,1
Asmarawati,Yudhistira,Undirected,1
Sadewa,Bendana,Undirected,4
Sadewa,Anoman,Undirected,8
Sadewa,Dhandhang,Undirected,2
Banowati,Kartamarma,Undirected,10
Guru,Citrasena,Undirected,2
Durna,Padmanaba,Undirected,1
Karna,Pandu,Undirected,1
Gatotkaca,Setyaboma,Undirected,2
Ramaparasu,Gatotkaca,Undirected,3
Soka,Citrasena,Undirected,2
Wenang,Brahma,Undirected,1
Nakula,Puntadewa,Undirected,30
Petruk,Surati_Mantra,Undirected,1
Gareng,Surati_Mantra,Undirected,1
Hagni,Kresna,Undirected,1
Sri,Yamadipati,Undirected,1
Kurandhayaksa,Bagong,Undirected,1
Kencana_Wulan,Nakula,Undirected,1
Semar,Badrahini,Undirected,2
Bayu,Arimbi,Undirected,2
Panyarikan,Baladewa,Undirected,1
Bhisma,Gendari,Undirected,1
Maruta,Kumbakarna,Undirected,2
Bendana,Abimanyu,Undirected,2
Jembawati,Petruk,Undirected,2
Bomanarakasura,Jembawati,Undirected,1
Gareng,Bismaka,Undirected,4
Pancawala,Kartamarma,Undirected,1
Erawati,Nagaprasanta,Undirected,1
TunggulWulung,Petruk,Undirected,1
Guru,Pradapa,Undirected,2
Bagaspati,Madrim,Undirected,1
Karna,Dewa_Ruci,Undirected,1
Karna,Bagong,Undirected,6
Saragupita,Salya,Undirected,1
Pujawati,Gendara,Undirected,1
Dewasrani,Narada,Undirected,3
Barata,Kanastren,Undirected,2
Bendana,Narada,Undirected,3
Indra,Nembur_Nawa,Undirected,1
Kunti,Kuntiboja,Undirected,2
Bagong,Mangsahpati,Undirected,2
Durna,Nagatatmala,Undirected,2
Wenang,Antasena,Undirected,2
Rukmini,Nakula,Undirected,2
Sengkuni,Antareja,Undirected,5
Dewasrani,Antareja,Undirected,1
Kartapiyoga,Bismaka,Undirected,1
Werkudara,Dhandhang,Undirected,2
Dewasrani,Sengkuni,Undirected,1
Bagong,Banowati,Undirected,6
Werkudara,Bendana,Undirected,4
Semar,Desamuka,Undirected,2
Arjuna,Ranu,Undirected,2
Dewasrani,Bendana,Undirected,1
Wisnu,Banowati,Undirected,1
Gatotkaca,Setyaki,Undirected,7
Setyaki,Ramaparasu,Undirected,1
Arjuna,Padmanaba,Undirected,1
Bomanarakasura,Gareng,Undirected,1
Wisanggeni,Kresna,Undirected,8
Kencana_Wulan,Petruk,Undirected,1
Kunti,Yamawidura,Undirected,1
Durga,Indra,Undirected,5
Parasara,Petruk,Undirected,2
Pulungsari,Pulunggana,Undirected,4
Kanastren,Indra,Undirected,1
Desamuka,Setyaboma,Undirected,1
Ranu,Bantala,Undirected,3
Abimanyu,Brajamusthi,Undirected,1
Mandrakeswara,Abiyasa,Undirected,1
Karna,Nembur_Nawa,Undirected,1
Arjuna,Wulan_Dremi,Undirected,2
Sengkuni,Kumbakarna,Undirected,1
Guru,Puntadewa,Undirected,9
Nagagini,Puntadewa,Undirected,1
Bagong,Durga,Undirected,4
Banowati,Asmarawati,Undirected,1
Pancawala,Soka,Undirected,1
Bayu,Yudhistira,Undirected,1
Setyaki,Durga,Undirected,1
Werkudara,Bantala,Undirected,1
Anoman,Abimanyu,Undirected,10
Bilung,Arjuna,Undirected,1
Lesmana_Murdaka,Barata,Undirected,3
Sengkuni,Antaboga,Undirected,2
Garuda,Petruk,Undirected,1
Arjuna,Narada,Undirected,17
Banowati,Narada,Undirected,4
Karna,Pulunggana,Undirected,1
Sengkuni,Gendari,Undirected,3
Gatotkaca,Yudhistira,Undirected,2
Parasara,Wisanggeni,Undirected,1
Dewa_Ruci,Arjuna,Undirected,1
Saragupita,Bismaka,Undirected,4
Abiyasa,Yuda_Kala_Kresna,Undirected,1
Anoman,Antasena,Undirected,2
Semar,Tambrapeta,Undirected,2
Bagong,Antaboga,Undirected,2
Hagni,Gatotkaca,Undirected,1
Baladewa,Werkudara,Undirected,13
Kangsa,Rohini,Undirected,1
Wulan_Dremi,Narada,Undirected,2
Abiyasa,Banowati,Undirected,3
Narada,Basudewa,Undirected,2
Bismaka,Pandu,Undirected,4
Setyaki,Siti_Sendari,Undirected,1
Tambrapeta,Kresna,Undirected,2
Kamajaya,Narada,Undirected,4
Bilung,Gatotkaca,Undirected,3
Banowati,Werkudara,Undirected,13
Kartamarma,Ranu,Undirected,1
Baladewa,Nagaprasanta,Undirected,1
Semar,Nakula,Undirected,16
Guru,Abiyasa,Undirected,2
Bagaspati,Destarastra,Undirected,1
Pragota,Baladewa,Undirected,1
Semar,Kunti,Undirected,5
Wibisana,Kumbakarna,Undirected,2
Bismaka,Yuda_Kala_Kresna,Undirected,1
Asmarawati,Nakula,Undirected,2
Karna,Sri,Undirected,2
Gareng,Bayu,Undirected,1
Kangsa,Indra,Undirected,1
Pulunggana,Nakula,Undirected,1
Durna,Antaboga,Undirected,2
Arjuna,Pulungsari,Undirected,2
Ugrasena,Petruk,Undirected,3
Bhisma,Nakula,Undirected,1
Dewasrani,Bagong,Undirected,2
Sekipu,Kresna,Undirected,2
Duryudana,Antareja,Undirected,5
Banowati,Hagni,Undirected,1
Bomanarakasura,Puntadewa,Undirected,1
Semar,Duryudana,Undirected,13
Setyaboma,Brahma,Undirected,1
Maruta,Arjuna,Undirected,2
Brajadhenta,Brajamusthi,Undirected,3
Bagong,Nagaprasanta,Undirected,1
Nembur_Nawa,Sadewa,Undirected,1
Guru,Kanastren,Undirected,2
Rukmini,Werkudara,Undirected,5
Bisawarna,Gareng,Undirected,1
Baladewa,Bendana,Undirected,2
Lesmana_Mandrakumara,Anoman,Undirected,3
Drupadi,Sri,Undirected,1
Semar,Kuntiboja,Undirected,1
Dhandhonwacana,Bhisma,Undirected,1
Sengkuni,Basudewa,Undirected,1
Durna,Mangsahpati,Undirected,2
Bomanarakasura,Setyaboma,Undirected,1
Abiyasa,Semar,Undirected,8
Gatotkaca,Narada,Undirected,10
Gagak_Baka,Baladewa,Undirected,1
Nakula,Narada,Undirected,8
Kanastren,Antaboga,Undirected,1
Saragupita,Arjuna,Undirected,1
Bisawarna,Duryudana,Undirected,2
Bagong,Erawati,Undirected,1
Sadewa,Ratmuka,Undirected,1
Guru,Werkudara,Undirected,14
Karna,Yudhistira,Undirected,1
Surtikanthi,Bismaka,Undirected,1
Durna,TunggulWulung,Undirected,1
Durga,Wisanggeni,Undirected,5
Rukmini,Abiyasa,Undirected,1
Surya,Pracona,Undirected,1
Guru,Wisanggeni,Undirected,8
Kencana_Wulan,Sadewa,Undirected,1
Pulungsari,Duryudana,Undirected,2
Guru,Setyaboma,Undirected,2
Wisanggeni,Dersanala,Undirected,3
Gareng,Surabramadiraja,Undirected,1
Wisnu,Setyaboma,Undirected,1
Gareng,Padmanaba,Undirected,1
Samba,Bagong,Undirected,5
Semar,Antasena,Undirected,1
Bendana,Nakula,Undirected,4
Banowati,Abimanyu,Undirected,7
Bilung,Mangsahpati,Undirected,1
Citrarata,Kartamarma,Undirected,2
Gatotkaca,Gagak_Baka,Undirected,1
Pandu,Basudewa,Undirected,5
Angganjali,Durga,Undirected,1
Karna,Panyarikan,Undirected,1
Rara_Ireng,Pragota,Undirected,1
Semar,Puntadewa,Undirected,17
Guru,Sekipu,Undirected,3
Antaboga,Narada,Undirected,4
Lesmana_Murdaka,Werkudara,Undirected,1
Arjuna,Dersanala,Undirected,3
Gareng,Yamadipati,Undirected,1
Bomanarakasura,Anoman,Undirected,4
Udawa,Panyarikan,Undirected,1
Soka,Kartamarma,Undirected,1
Semar,Kanastren,Undirected,5
