Source,Target,Type,Weight
Surati_Mantra,Maerah,Undirected,1
Citrarata,Semar,Undirected,1
WadyaGuwaSiluman,Rara_Ireng,Undirected,1
Semar,WadyaSetanBekasakan,Undirected,1
Rukmini,Abimanyu,Undirected,1
WadyaGuwagro,Kresna,Undirected,1
Sadewa,Kartamarma,Undirected,8
Banowati,Rama,Undirected,1
Maerah,Baladewa,Undirected,2
Madrim,Basudewa,Undirected,1
Guru,Rukmara,Undirected,1
Durga,Pradapa,Undirected,1
Bagaspati,NgembatLandeyan,Undirected,1
WadyaDhandhangMangore,Anoman,Undirected,1
Nakula,Wilawuk,Undirected,1
Samba,Petruk,Undirected,5
Arimbi,Durandara,Undirected,1
Sadewa,Togog,Undirected,1
Werkudara,Narada,Undirected,9
Antaboga,Duryudana,Undirected,1
Baladewa,Brahma,Undirected,1
Antakawulan,WadyaDhandangMangore,Undirected,1
WadyaTawanggantungan,Abimanyu,Undirected,1
Gatotkaca,Anoman,Undirected,9
Sengkuni,Wisanggeni,Undirected,2
Pradapa,Nakula,Undirected,1
Parasara,Duryudana,Undirected,2
Dewasrani,Durga,Undirected,2
Gareng,Desamuka,Undirected,1
Kencana_Wulan,Duryudana,Undirected,1
Antareja,Kresna,Undirected,5
Karna,Desamuka,Undirected,1
Bagong,TunggulWulung,Undirected,1
Yuda_Kala_Kresna,Indra,Undirected,1
Banowati,Sugriwa,Undirected,1
Dewa_Ruci,Banowati,Undirected,1
Pancawala,Tambrapeta,Undirected,1
Durandara,Duryudana,Undirected,1
Ugrasena,Semar,Undirected,3
Arjuna,WadyaSetanBekasakan,Undirected,1
Baladewa,Abiyasa,Undirected,1
Wisanggeni,Abimanyu,Undirected,2
Werkudara,Bendana,Undirected,3
Gareng,Pracona,Undirected,1
Drupadi,Nakula,Undirected,1
Kresna,Basudewa,Undirected,1
Sadewa,Wilawuk,Undirected,1
Gendari,RatuSewuNagari,Undirected,1
Wulan_Dremi,Abimanyu,Undirected,1
Desamuka,Wisnu,Undirected,1
Udawa,Duryudana,Undirected,3
Jembawati,Brahma,Undirected,1
Surya,Semar,Undirected,1
Bomanarakasura,Samba,Undirected,1
Banowati,Ratmuka,Undirected,1
Wulan_Drema,WadyaBalaDhandhangMangore,Undirected,1
Durga,Wenang,Undirected,1
WadyaGuwaSiluman,Duryudana,Undirected,1
Wulan_Drema,Kresna,Undirected,1
Soka,Kunti,Undirected,1
Gareng,Semar,Undirected,17
Desamuka,Anoman,Undirected,2
Durna,Narada,Undirected,6
Badrahini,Salya,Undirected,1
Gatotkaca,Bisawarna,Undirected,2
Bisawarna,Kartamarma,Undirected,1
Bisawarna,Sadewa,Undirected,1
Setyaki,Anoman,Undirected,4
Dewaki,Pandu,Undirected,1
Anoman,Bantala,Undirected,1
Ugrasena,WadyaGuwagro,Undirected,1
Kunti,Destarastra,Undirected,1
Ugrasena,Baladewa,Undirected,2
Barata,Petruk,Undirected,1
Guru,Kalika,Undirected,1
Guru,WadyaRotaDenawaDwarawati,Undirected,1
Surati_Mantra,Bismaka,Undirected,1
Udawa,TumenggungAstina,Undirected,1
WadyaDwarawti,Korawa,Undirected,1
Petruk,Setyaki,Undirected,4
Durna,Wulan_Dremi,Undirected,1
Angganjali,Pracona,Undirected,1
Werkudara,Yuda_Kala_Kresna,Undirected,1
Udawa,TunggulWulung,Undirected,1
Durna,Wulan_Drema,Undirected,1
Guru,Arjuna,Undirected,8
Abiyasa,Nakula,Undirected,3
Gareng,Antasena,Undirected,1
Petruk,Gendari,Undirected,2
Banowati,Wisanggeni,Undirected,2
Werkudara,Puntadewa,Undirected,15
TunggulWulung,Abiyasa,Undirected,1
Guru,Udawa,Undirected,3
Mandrakeswara,Pandu,Undirected,1
Bismaka,Indra,Undirected,3
Brajadhenta,Semar,Undirected,1
Petruk,Nagagini,Undirected,1
Soka,Durga,Undirected,1
Baladewa,Wisnu,Undirected,1
Asmarawati,Yudhistira,Undirected,1
Sadewa,Bendana,Undirected,3
Sadewa,Anoman,Undirected,8
Sadewa,Dhandhang,Undirected,1
Kencana_Wulan,Petruk,Undirected,1
Banowati,Kartamarma,Undirected,10
Guru,Citrasena,Undirected,1
Durna,Padmanaba,Undirected,1
Gareng,WadyaBalaDhandhangMangore,Undirected,1
Narada,TumenggungAstina,Undirected,1
Bagong,Brajadhenta,Undirected,1
Gatotkaca,Setyaboma,Undirected,2
Ramaparasu,Gatotkaca,Undirected,1
Soka,Citrasena,Undirected,1
Wenang,Brahma,Undirected,1
Nakula,Puntadewa,Undirected,14
WadyaDwarawti,Kartamarma,Undirected,1
Gareng,Surati_Mantra,Undirected,1
Hagni,Kresna,Undirected,1
Dewa_Ruci,WadyaBalaDhandhangMangore,Undirected,1
Sri,Yamadipati,Undirected,1
Kurandhayaksa,Bagong,Undirected,1
WadyaGuwagra,Pandu,Undirected,1
Semar,Badrahini,Undirected,2
Bayu,Arimbi,Undirected,1
Panyarikan,Baladewa,Undirected,1
Bhisma,Gendari,Undirected,1
Maruta,Kumbakarna,Undirected,1
Bendana,Abimanyu,Undirected,1
Jembawati,Petruk,Undirected,2
Bomanarakasura,Jembawati,Undirected,1
Gareng,Bismaka,Undirected,4
Pancawala,Kartamarma,Undirected,1
Erawati,Nagaprasanta,Undirected,1
Panyarikan,Durandara,Undirected,1
TunggulWulung,Petruk,Undirected,1
Korawa,Bagong,Undirected,11
Bagaspati,Madrim,Undirected,1
Gareng,Kamajaya,Undirected,1
Karna,Dewa_Ruci,Undirected,1
Karna,Bagong,Undirected,5
Saragupita,Salya,Undirected,1
Dewasrani,Narada,Undirected,2
Barata,Kanastren,Undirected,1
WadyaDhandangMangore,Duryudana,Undirected,1
Bendana,Narada,Undirected,2
WadyaMandura,Surati_Mantra,Undirected,1
WadyaDhandangMangore,Puntadewa,Undirected,1
Kunti,Kuntiboja,Undirected,1
