Label,ID,origin,type
Abimanyu,Abimanyu,India,Human
Abiyasa,Abiyasa,India,Human
Angganjali,Angganjali,Java,Human
Anoman,Anoman,India,Animal
Antaboga,Antaboga,Java,God
Antakawulan,Antakawulan,Java,Human
Antareja,Antareja,Java,Human
Antasena,Antasena,Java,Human
Arimbi,Arimbi,India,Raksasa
Arjuna,Arjuna,India,Human
Asmarawati,Asmarawati,India,Human
Badrahini,Badrahini,Java,Human
Bagaspati,Bagaspati,Java,Raksasa
Bagong,Bagong,Java,Human
Baladewa,Baladewa,India,Human
Banowati,Banowati,India,Human
Bantala,Bantala,Java,Raksasa
Barata,Barata,India,Human
Basudewa,Basudewa,India,Human
Bayu,Bayu,India,God
Bendana,Bendana,Java,Raksasa
Bhisma,Bhisma,India,Human
Bilung,Bilung,Java,Human
Bisawarna,Bisawarna,Java,Human
Bismaka,Bismaka,India,Human
Bomanarakasura,Bomanarakasura,India,Human
Brahma,Brahma,India,God
Brajadhenta,Brajadhenta,Java,Raksasa
Brajamusthi,Brajamusthi,Java,Raksasa
Citrarata,Citrarata,India,Human
Citrasena,Citrasena,India,God
Daryamaya,Daryamaya,Java,Raksasa
Dersanala,Dersanala,Java,God
Desamuka,Desamuka,India,Raksasa
Destarastra,Destarastra,India,Human
Dewaki,Dewaki,India,Human
Dewa_Ruci,Dewa_Ruci,Java,God
Dewasrani,Dewasrani,Java,God
Dhadhungawuk,Dhadhungawuk,Java,Raksasa
Dhamdharat,Dhamdharat,Java,Demon
Dhandhang,Dhandhang,Java,Demon
Dhandhonwacana,Dhandhonwacana,Java,Demon
Drestarastra,Drestarastra,India,Human
Drupadi,Drupadi,India,Human
Druwasa,Druwasa,India,God
Durga,Durga,India,God
Durna,Durna,India,Human
Duryudana,Duryudana,India,Human
Erawati,Erawati,India,Human
Gagak_Baka,Gagak_Baka,Java,Human
Gareng,Gareng,Java,Human
Garuda,Garuda,India,Animal
Gatotkaca,Gatotkaca,India,Human
Gendara,Gendara,Java,Human
Gendari,Gendari,India,Human
Gorawangsa,Gorawangsa,Java,Raksasa
Guru,Guru,India,God
Hagni,Hagni,Java,Raksasa
Indra,Indra,India,God
Jaya_Bajra,Jaya_Bajra,Java,Raksasa
Jembawati,Jembawati,India,Human
Kalika,Kalika,Java,Demon
Kamajaya,Kamajaya,India,God
Kanastren,Kanastren,Java,God
Kangsa,Kangsa,India,Human
Karna,Karna,India,Human
Kartamarma,Kartamarma,India,Human
Kartapiyoga,Kartapiyoga,Java,Human
Kencana_Wulan,Kencana_Wulan,Java,Human
Kresna,Kresna,India,Human
Yuda_Kala_Kresna,Yuda_Kala_Kresna,Java,Raksasa
Kumbakarna,Kumbakarna,India,Raksasa
Kunti,Kunti,India,Human
Kuntiboja,Kuntiboja,India,Human
Kurandhayaksa,Kurandhayaksa,Java,Raksasa
Lesmana_Mandrakumara,Lesmana_Mandrakumara,India,Human
Lesmana_Murdaka,Lesmana_Murdaka,India,Human
Madrim,Madrim,India,Human
Maerah,Maerah,India,Human
Mandrakeswara,Mandrakeswara,Java,Human
Mangsahpati,Mangsahpati,India,Human
Maruta,Maruta,Java,Raksasa
Nagagini,Nagagini,Java,God
Nagaprasanta,Nagaprasanta,Java,Raksasa
