label,degree,weighted degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Abimanyu,81,406.0,0.651685393258427,0.7327586206896551,93.47347671002136,2,0,0.5117283950617284,1658,0.6697524798276294
Abiyasa,75,166.0,0.6373626373626373,0.7155172413793104,147.5490306951001,6,0,0.46846846846846846,1300,0.5861703032359907
Angganjali,24,32.0,0.5370370370370371,0.5689655172413793,0.0,4,0,1.0,276,0.263087252228267
Anoman,97,363.0,0.6932270916334662,0.7787356321839081,198.91317429331966,2,0,0.4104381443298969,1911,0.7306809019274306
Antaboga,46,91.0,0.5761589403973509,0.632183908045977,10.234513388236502,2,0,0.7961352657004831,824,0.4683829551843647
Antakawulan,28,37.0,0.54375,0.5804597701149425,0.0,2,0,1.0,378,0.3331787994446949
Antareja,62,200.0,0.6083916083916084,0.6781609195402298,37.73934975940598,2,0,0.6329984135378107,1197,0.5663594578822985
Antasena,21,33.0,0.5321100917431193,0.5603448275862069,0.0,6,0,1.0,210,0.2661880209846042
Arimbi,45,102.0,0.5742574257425742,0.6293103448275862,19.242907598813357,6,0,0.7070707070707071,700,0.4293613539987939
Arjuna,149,743.0,0.8743718592964824,0.9281609195402298,788.6033601515009,6,0,0.2740794485760929,3022,0.9776450175492065
Asmarawati,36,59.0,0.5576923076923077,0.603448275862069,7.78139086484768,6,0,0.8031746031746032,506,0.35338240662019516
Badrahini,31,58.0,0.5488958990536278,0.5890804597701149,4.9074698779033135,5,0,0.843010752688172,392,0.23125548870626075
Bagaspati,23,29.0,0.5353846153846153,0.5660919540229885,0.0,5,0,1.0,253,0.16857000472165823
Bagong,144,525.0,0.8529411764705882,0.9137931034482759,741.5884462342107,5,0,0.28292540792540793,2913,0.9414402629523233
Baladewa,98,328.0,0.696,0.7816091954022989,259.6537508908851,2,0,0.39953713444140543,1899,0.7273550147916686
Banowati,106,307.0,0.71900826446281,0.8045977011494253,253.2904544540947,3,0,0.37646001796945194,2095,0.7738572932988932
Bantala,25,36.0,0.5386996904024768,0.5718390804597702,0.0,3,0,1.0,300,0.2634557236826347
Barata,28,44.0,0.54375,0.5804597701149425,0.0,2,0,1.0,378,0.333178799444695
Basudewa,46,105.0,0.5761589403973509,0.632183908045977,37.464692459717554,5,0,0.6202898550724638,642,0.31080992846579075
Bayu,33,50.0,0.5523809523809524,0.5948275862068966,6.0811720552123045,6,0,0.8276515151515151,437,0.3359365796571748
Bendana,50,100.0,0.5838926174496645,0.6436781609195402,22.302971047134907,6,0,0.7061224489795919,865,0.4808364035093122
