Source,Target,Type,Weight
Surati_Mantra,Maerah,Undirected,2
SaudaraBayu,Indra,Undirected,1
Citrarata,Semar,Undirected,2
WadyaGuwaSiluman,Rara_Ireng,Undirected,2
Semar,WadyaSetanBekasakan,Undirected,1
WadyaGuwagro,Kresna,Undirected,1
Sadewa,Kartamarma,Undirected,8
Durna,Kesawasidhi,Undirected,1
Banowati,Rama,Undirected,1
Maerah,Baladewa,Undirected,2
Madrim,Basudewa,Undirected,1
Guru,Rukmara,Undirected,1
Durga,Pradapa,Undirected,1
Bagaspati,NgembatLandeyan,Undirected,1
WadyaDhandhangMangore,Anoman,Undirected,1
Arjuna,Nembur_Nawa,Undirected,1
Nakula,Wilawuk,Undirected,2
Samba,Petruk,Undirected,6
Arimbi,Durandara,Undirected,1
Sadewa,Togog,Undirected,1
Werkudara,Narada,Undirected,13
Antaboga,Duryudana,Undirected,1
Baladewa,Brahma,Undirected,1
Antakawulan,WadyaDhandangMangore,Undirected,2
WadyaTawanggantungan,Abimanyu,Undirected,2
Gatotkaca,Anoman,Undirected,14
Petruk,Brahala,Undirected,3
Pradapa,Nakula,Undirected,2
Parasara,Duryudana,Undirected,2
Dewasrani,Durga,Undirected,5
Kencana_Wulan,Duryudana,Undirected,1
Bimasakti,Anoman,Undirected,2
Antareja,Kresna,Undirected,7
Barata,Kanastren,Undirected,2
Petruk,_Woman,Undirected,1
Bagong,TunggulWulung,Undirected,1
Gareng,_Guard,Undirected,1
Yuda_Kala_Kresna,Indra,Undirected,2
Banowati,Sugriwa,Undirected,1
Kalanjaya,Nakula,Undirected,2
Duryudana,BayuBajra,Undirected,2
Durandara,Duryudana,Undirected,1
Ugrasena,Semar,Undirected,3
Arjuna,WadyaSetanBekasakan,Undirected,2
Dhamdharat,Kresna,Undirected,2
Hagni,Ranu,Undirected,3
Wisanggeni,Abimanyu,Undirected,3
Werkudara,Bendana,Undirected,4
Drupadi,Nakula,Undirected,1
Bismaka,Brahala,Undirected,1
Karna,Sintawaka,Undirected,2
Kresna,Basudewa,Undirected,2
Gareng,_Lion,Undirected,2
Sadewa,Wilawuk,Undirected,2
Gendari,RatuSewuNagari,Undirected,1
Wulan_Dremi,Abimanyu,Undirected,2
_Tiger,Kresna,Undirected,1
Udawa,Duryudana,Undirected,3
Jembawati,Brahma,Undirected,1
Surya,Semar,Undirected,1
Amonggati,Nindyamaya,Undirected,4
Banowati,Ratmuka,Undirected,1
Parasara,Nindyamaya,Undirected,1
Durna,Panyarikan,Undirected,1
Narada,BayuBajra,Undirected,1
Wulan_Drema,WadyaBalaDhandhangMangore,Undirected,1
Sengkuni,Sinduragen,Undirected,1
Nakula,WadyaGuwaSari,Undirected,1
WadyaGuwaSiluman,Duryudana,Undirected,1
Soka,Kunti,Undirected,1
Gareng,Semar,Undirected,33
Bagong,_Guard,Undirected,1
Durna,Narada,Undirected,7
Badrahini,Salya,Undirected,1
Gatotkaca,Bisawarna,Undirected,2
Bisawarna,Kartamarma,Undirected,1
Bayu,Dewa_Ruci,Undirected,1
Bisawarna,Sadewa,Undirected,1
Setyaki,Anoman,Undirected,7
Dewaki,Pandu,Undirected,2
Anoman,Bantala,Undirected,1
Ugrasena,WadyaGuwagro,Undirected,1
Kunti,Destarastra,Undirected,2
Kuntiboja,Salya,Undirected,1
Ugrasena,Baladewa,Undirected,2
Barata,Petruk,Undirected,1
Guru,Kalika,Undirected,2
Guru,WadyaRotaDenawaDwarawati,Undirected,2
Surati_Mantra,Bismaka,Undirected,2
Udawa,TumenggungAstina,Undirected,1
WadyaDwarawti,Korawa,Undirected,1
