Label,ID,type
Abimanyu,Abimanyu,canonical
Abiyasa,Abiyasa,canonical
Angganjali,Angganjali,canonical
Anoman,Anoman,canonical
Antaboga,Antaboga,canonical
Antakawulan,Antakawulan,canonical
Antareja,Antareja,canonical
Antasena,Antasena,canonical
Arimbi,Arimbi,canonical
Arjuna,Arjuna,canonical
Asmarawati,Asmarawati,canonical
Badrahini,Badrahini,canonical
Bagaspati,Bagaspati,canonical
Bagong,Bagong,canonical
Baladewa,Baladewa,canonical
Banowati,Banowati,canonical
Bantala,Bantala,canonical
Barata,Barata,canonical
Basudewa,Basudewa,canonical
Bayu,Bayu,canonical
Bendana,Bendana,canonical
Bhisma,Bhisma,canonical
Bilung,Bilung,canonical
Bisawarna,Bisawarna,canonical
Bismaka,Bismaka,canonical
Bomanarakasura,Bomanarakasura,canonical
Brahma,Brahma,canonical
Brajadhenta,Brajadhenta,canonical
Brajamusthi,Brajamusthi,canonical
Citrarata,Citrarata,canonical
Citrasena,Citrasena,canonical
Daryamaya,Daryamaya,canonical
Dersanala,Dersanala,canonical
Desamuka,Desamuka,canonical
Destarastra,Destarastra,canonical
Dewaki,Dewaki,canonical
Dewa_Ruci,Dewa_Ruci,canonical
Dewasrani,Dewasrani,canonical
Dhadhungawuk,Dhadhungawuk,canonical
Dhamdharat,Dhamdharat,canonical
Dhandhang,Dhandhang,canonical
Dhandhonwacana,Dhandhonwacana,canonical
Drestarastra,Drestarastra,canonical
Drupadi,Drupadi,canonical
Druwasa,Druwasa,canonical
Durga,Durga,canonical
Durna,Durna,canonical
Duryudana,Duryudana,canonical
Erawati,Erawati,canonical
Gagak_Baka,Gagak_Baka,canonical
Gareng,Gareng,canonical
Garuda,Garuda,canonical
Gatotkaca,Gatotkaca,canonical
Gendara,Gendara,canonical
Gendari,Gendari,canonical
Gorawangsa,Gorawangsa,canonical
Guru,Guru,canonical
Hagni,Hagni,canonical
Indra,Indra,canonical
Jaya_Bajra,Jaya_Bajra,canonical
Jembawati,Jembawati,canonical
Kalika,Kalika,canonical
Kamajaya,Kamajaya,canonical
Kanastren,Kanastren,canonical
Kangsa,Kangsa,canonical
Karna,Karna,canonical
Kartamarma,Kartamarma,canonical
Kartapiyoga,Kartapiyoga,canonical
Kencana_Wulan,Kencana_Wulan,canonical
Kresna,Kresna,canonical
Yuda_Kala_Kresna,Yuda_Kala_Kresna,canonical
Kumbakarna,Kumbakarna,canonical
Kunti,Kunti,canonical
Kuntiboja,Kuntiboja,canonical
Kurandhayaksa,Kurandhayaksa,canonical
Lesmana_Mandrakumara,Lesmana_Mandrakumara,canonical
Lesmana_Murdaka,Lesmana_Murdaka,canonical
Madrim,Madrim,canonical
Maerah,Maerah,canonical
Mandrakeswara,Mandrakeswara,canonical
Mangsahpati,Mangsahpati,canonical
Maruta,Maruta,canonical
Nagagini,Nagagini,canonical
Nagaprasanta,Nagaprasanta,canonical
Nagatatmala,Nagatatmala,canonical
Nakula,Nakula,canonical
Narada,Narada,canonical
Nembur_Nawa,Nembur_Nawa,canonical
NgembatLandeyan,NgembatLandeyan,canonical
Padmanaba,Padmanaba,canonical
Pancawala,Pancawala,canonical
Pandu,Pandu,canonical
Panyarikan,Panyarikan,canonical
Parasara,Parasara,canonical
Petruk,Petruk,canonical
Pracona,Pracona,canonical
Pradapa,Pradapa,canonical
Pragota,Pragota,canonical
Pujawati,Pujawati,canonical
Pulunggana,Pulunggana,canonical
Pulungsari,Pulungsari,canonical
Puntadewa,Puntadewa,canonical
Rama,Rama,canonical
Ramaparasu,Ramaparasu,canonical
Ramayadi,Ramayadi,canonical
Ranu,Ranu,canonical
Rara_Ireng,Rara_Ireng,canonical
Ratmuka,Ratmuka,canonical
Rohini,Rohini,canonical
Rukmara,Rukmara,canonical
Rukmini,Rukmini,canonical
Sadana,Sadana,canonical
Sadewa,Sadewa,canonical
Salya,Salya,canonical
Samba,Samba,canonical
Saragupita,Saragupita,canonical
Satrugna,Satrugna,canonical
Sekipu,Sekipu,canonical
Semar,Semar,canonical
Sengkuni,Sengkuni,canonical
Setyaboma,Setyaboma,canonical
Setyaki,Setyaki,canonical
Siti_Sendari,Siti_Sendari,canonical
Soka,Soka,canonical
Sri,Sri,canonical
Sugriwa,Sugriwa,canonical
Suparta,Suparta,canonical
Surabramadiraja,Surabramadiraja,canonical
Surati_Mantra,Surati_Mantra,canonical
Surtikanthi,Surtikanthi,canonical
Surya,Surya,canonical
Tambrapeta,Tambrapeta,canonical
Togog,Togog,canonical
TunggulWulung,TunggulWulung,canonical
Udawa,Udawa,canonical
Ugrasena,Ugrasena,canonical
Wenang,Wenang,canonical
Werkudara,Werkudara,canonical
Wibisana,Wibisana,canonical
Wilawuk,Wilawuk,canonical
Wisanggeni,Wisanggeni,canonical
Wisnu,Wisnu,canonical
Wulan_Drema,Wulan_Drema,canonical
Wulan_Dremi,Wulan_Dremi,canonical
Yamadipati,Yamadipati,canonical
