label,degree,weighted degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Abimanyu,68,384.0,0.6517857142857143,0.7328767123287672,53.752953585752834,3,0,0.5860403863037752,1335,0.6516277327779
Abiyasa,69,160.0,0.6547085201793722,0.7363013698630136,115.35467986055686,5,0,0.49701619778346123,1166,0.6102434527395761
Angganjali,24,32.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.2850770534550792
Anoman,78,347.0,0.6822429906542056,0.7671232876712328,92.56978335183383,3,0,0.5021645021645021,1508,0.7031159551195891
Antaboga,40,85.0,0.5793650793650794,0.636986301369863,4.661974148769795,3,0,0.8628205128205129,673,0.46690034667369773
Antakawulan,27,49.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.34896000316359377
Antareja,52,195.0,0.6083333333333333,0.678082191780822,18.467669420535348,3,0,0.7232277526395173,959,0.5566226705943643
Antasena,21,33.0,0.5387453874538746,0.571917808219178,0.0,0,0,1.0,210,0.2876499158926315
Arimbi,45,102.0,0.5910931174089069,0.6541095890410958,18.672180142572127,0,0,0.7121212121212122,705,0.4703876964162739
Arjuna,125,715.0,0.874251497005988,0.928082191780822,480.9446376011365,0,0,0.32051612903225807,2484,0.9563122980682686
Asmarawati,34,57.0,0.5658914728682171,0.6164383561643836,6.769419909533072,0,0,0.8128342245989305,456,0.360211776162798
Badrahini,31,58.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.2582289023215744
Bagaspati,23,29.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Bagong,129,506.0,0.8957055214723927,0.9417808219178082,589.3834498371573,5,0,0.3065649224806202,2531,0.9555702031626856
Baladewa,90,317.0,0.7227722772277227,0.8082191780821918,207.72213979905973,3,0,0.42671660424469415,1709,0.7556709732629314
Banowati,85,285.0,0.7053140096618358,0.791095890410959,127.95199374239824,6,0,0.4588235294117647,1638,0.7374130589123009
Bantala,23,34.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2677534087061714
Barata,27,43.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.3489600031635937
Basudewa,46,103.0,0.5934959349593496,0.6575342465753424,37.469237914263005,5,0,0.6202898550724638,642,0.3486320419783776
Bayu,31,46.0,0.5593869731800766,0.6061643835616438,3.954652093692341,0,0,0.864516129032258,402,0.3541958377973068
Bendana,48,100.0,0.5983606557377049,0.6643835616438356,19.962723353514527,4,0,0.7154255319148937,807,0.5082997276833472
Bhisma,24,28.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.27807979349011475
Bilung,33,53.0,0.5637065637065637,0.613013698630137,3.1744178478170824,6,0,0.8901515151515151,470,0.3999062673449182
Bisawarna,33,47.0,0.5637065637065637,0.613013698630137,5.955648613960634,6,0,0.8352272727272727,441,0.38644907528963135
Bismaka,59,116.0,0.6266094420600858,0.702054794520548,81.27216974830523,5,0,0.5236703682057277,896,0.4911123809109117
