characters,names
7,Nagatatmala&Nagagini&Antareja&Durna&Nagasewu&Nagabanda&BayuBajra
4,Nagagini&Banowati&Durna&Nagasewu
4,Antareja&Nagatatmala&Nagabanda&BayuBajra
5,Samba&Antareja&BayuBajra&Baladewa&Kresna
8,Nagatatmala&Samba&Antareja&Baladewa&Udawa&Nagabanda&Kresna&BayuBajra
6,Gareng&Semar&Abiyasa&Bagong&Petruk&Abimanyu
4,Puntadewa&Anoman&Werkudara&Kresna
2,Narada&Guru
7,Gatotkaca&Guru&Anoman&Kresna&TunggulWulung&Abimanyu&Werkudara
8,Nagatatmala&Nagagini&Antareja&Nagasewu&Nagabanda&BayuBajra&Duryudana&Werkudara
