characters,names
5,Karna&Sengkuni&Durna&Duryudana&Kartamarma
2,Banowati&Duryudana
2,Semar&Sengkuni
9,Gatotkaca&Sengkuni&Gareng&Semar&Karna&Kanastren&Bagong&Petruk&Abimanyu
11,Nakula&Antakawulan&Arjuna&Puntadewa&Petruk&Baladewa&Bagong&Gareng&Kresna&Sadewa&Werkudara
4,Gatotkaca&Antakawulan&Arjuna&Kresna
7,Gatotkaca&Wenang&Anoman&Kresna&Arjuna&Rama&Lesmana_Murdaka
5,Satrugna&Antakawulan&Arjuna&Lesmana_Murdaka&Barata
2,Antakawulan&Arjuna
6,Antakawulan&Anoman&Sugriwa&Rama&Lesmana_Murdaka&Barata
9,Puntadewa&Semar&Baladewa&Kanastren&Kresna&Arjuna&Rama&Lesmana_Murdaka&Barata
