characters,names
5,Karna&Sengkuni&Durna&Duryudana&Lesmana_Mandrakumara
3,Karna&Banowati&Duryudana
2,Sengkuni&Karna
6,Bilung&Petruk&Sri&Karna&RaraTemon&Togog
5,Petruk&Anoman&Karna&Sengkuni&Togog
12,Nakula&Gatotkaca&Sadewa&Puntadewa&Semar&Baladewa&Antareja&Kresna&Petruk&Arjuna&Abimanyu&Werkudara
1,Abimanyu
5,Gatotkaca&Bomanarakasura&Desamuka&Abimanyu&Godhayitma
2,Antareja&Antaboga
4,Gatotkaca&Antareja&Sengkuni&Karna
6,Gatotkaca&Sadana&Antareja&Semar&JakaPupon&Abimanyu
11,Gatotkaca&Sri&Sadana&Antareja&Semar&Baladewa&JakaPupon&Kresna&RaraTemon&Abimanyu&Togog
