characters,names
9,Sengkuni&Kartamarma&Durna&Karna&Citrasena&Kalanjaya&Citrarata&Duryudana&Kalantaka
2,Banowati&Duryudana
5,Kalantaka&Sengkuni&Citrarata&Citrasena&Kalanjaya
2,Wisanggeni&Pancawala
5,Kalantaka&Citrarata&Wisanggeni&Citrasena&Kalanjaya
2,Durga&Kunti
2,Semar&Arjuna
3,Tambrapeta&Pradapa&Soka
9,Nakula&Sadewa&Puntadewa&Semar&Kunti&Kalika&Kresna&Arjuna&Werkudara
5,Durga&Kunti&Sadewa&Kalika&Guru
14,Nakula&Sadewa&Guru&Semar&Citrasena&Kalanjaya&Tambrapeta&Pradapa&Kresna&Kalantaka&Arjuna&Citrarata&Werkudara&Soka
