characters,names
5,Karna&Sengkuni&Durna&Duryudana&Kartamarma
2,Banowati&Duryudana
1,Sengkuni
5,Gatotkaca&Antareja&Wisanggeni&Abimanyu&Bendana
4,Gatotkaca&Karna&Wisanggeni&Bendana
8,Gatotkaca&Gareng&Semar&Bagong&Parasara&_Lion&Petruk&Abimanyu
5,Pulunggana&Pulungsari&Narada&Indra&Guru
4,Durga&Pulunggana&Dewasrani&Pulungsari
7,Gatotkaca&Durga&Pulungsari&Semar&Pulunggana&_Woman&Abimanyu
8,Nakula&Gatotkaca&Sadewa&Puntadewa&Antareja&Arjuna&Abimanyu&Werkudara
1,Kresna
8,Gatotkaca&Nakula&Sadewa&Puntadewa&Kresna&Arjuna&Abimanyu&Werkudara
