Source,Target,Type,Weight
Nakula,Bendana,Undirected,1
Abiyasa,Arimbi,Undirected,1
Nakula,Kunti,Undirected,1
Nakula,Abiyasa,Undirected,1
Arimbi,Kunti,Undirected,1
Nakula,Wilawuk,Undirected,1
Sadewa,Kunti,Undirected,1
Abiyasa,Wilawuk,Undirected,1
Puntadewa,Kunti,Undirected,1
Nakula,Werkudara,Undirected,1
Semar,Wilawuk,Undirected,1
Bendana,Arjuna,Undirected,1
Durna,Destarastra,Undirected,1
Nakula,Yudhistira,Undirected,1
Puntadewa,Werkudara,Undirected,1
Sadewa,Arimbi,Undirected,1
Wilawuk,Kunti,Undirected,1
Yudhistira,Arjuna,Undirected,1
Sadewa,Wilawuk,Undirected,1
Nakula,Arjuna,Undirected,1
Bayu,Werkudara,Undirected,1
Bisma,Sengkuni,Undirected,1
Werkudara,Suparta,Undirected,1
Asmarawati,Arjuna,Undirected,1
Arjuna,Arimbi,Undirected,2
Abiyasa,Werkudara,Undirected,1
Werkudara,Arimbi,Undirected,2
Sadewa,Puntadewa,Undirected,1
Gareng,Semar,Undirected,1
Puntadewa,Wilawuk,Undirected,1
Puntadewa,Arjuna,Undirected,1
Sengkuni,Destarastra,Undirected,1
Dhandhonwacana,Werkudara,Undirected,1
Dhandhonwacana,Suparta,Undirected,1
Arimbi,Wilawuk,Undirected,2
Sadewa,Yudhistira,Undirected,1
Bagong,Arjuna,Undirected,1
Sadewa,Arjuna,Undirected,1
Arjuna,Werkudara,Undirected,1
Yudhistira,Abiyasa,Undirected,1
Sadewa,Bendana,Undirected,1
Sengkuni,Werkudara,Undirected,1
Wilawuk,Petruk,Undirected,1
Semar,Petruk,Undirected,1
Gareng,Arjuna,Undirected,1
Yudhistira,Wilawuk,Undirected,1
Nakula,Puntadewa,Undirected,1
Bagong,Petruk,Undirected,1
Bayu,Arimbi,Undirected,1
Puntadewa,Arimbi,Undirected,1
Bayu,Wilawuk,Undirected,1
Puntadewa,Bendana,Undirected,1
Arimbi,Bendana,Undirected,1
Nakula,Arimbi,Undirected,1
Nakula,Sadewa,Undirected,1
Sadewa,Werkudara,Undirected,1
Puntadewa,Abiyasa,Undirected,1
Abiyasa,Kunti,Undirected,1
Durna,Werkudara,Undirected,1
Puntadewa,Yudhistira,Undirected,1
Semar,Arjuna,Undirected,1
Wilawuk,Bendana,Undirected,1
Yudhistira,Werkudara,Undirected,1
Sadewa,Abiyasa,Undirected,1
Bendana,Kunti,Undirected,1
Gareng,Bagong,Undirected,1
Bisma,Destarastra,Undirected,1
Bendana,Werkudara,Undirected,1
Bagong,Wilawuk,Undirected,1
Destarastra,Gendari,Undirected,1
Wilawuk,Arjuna,Undirected,3
Yudhistira,Arimbi,Undirected,1
Werkudara,Destarastra,Undirected,2
Yudhistira,Bendana,Undirected,1
Asmarawati,Wilawuk,Undirected,2
Abiyasa,Bendana,Undirected,1
Arjuna,Kunti,Undirected,1
Sengkuni,Durna,Undirected,1
Werkudara,Wilawuk,Undirected,2
Sengkuni,Duryudana,Undirected,1
Werkudara,Gendari,Undirected,1
Bisma,Durna,Undirected,1
Petruk,Arjuna,Undirected,1
Gareng,Petruk,Undirected,1
Yudhistira,Kunti,Undirected,1
Gareng,Wilawuk,Undirected,1
Bisma,Werkudara,Undirected,1
Semar,Bagong,Undirected,1
Kunti,Werkudara,Undirected,1
Abiyasa,Arjuna,Undirected,1
