Source,Target,Type,Weight
Nagatatmala,Nagabanda,Undirected,4
Nagagini,Duryudana,Undirected,1
Samba,BayuBajra,Undirected,2
Nagatatmala,Werkudara,Undirected,1
Antareja,Udawa,Undirected,1
Nagagini,Banowati,Undirected,1
BayuBajra,Kresna,Undirected,2
Gatotkaca,Anoman,Undirected,1
Antareja,Kresna,Undirected,2
Nagabanda,BayuBajra,Undirected,4
Nagasewu,Nagabanda,Undirected,2
Anoman,Werkudara,Undirected,2
Abimanyu,Werkudara,Undirected,1
Werkudara,Kresna,Undirected,2
BayuBajra,Duryudana,Undirected,1
Puntadewa,Werkudara,Undirected,1
Nagagini,Durna,Undirected,2
TunggulWulung,Werkudara,Undirected,1
Banowati,Durna,Undirected,1
Narada,Guru,Undirected,1
Gareng,Petruk,Undirected,1
TunggulWulung,Abimanyu,Undirected,1
Samba,Antareja,Undirected,2
Nagasewu,Duryudana,Undirected,1
Abiyasa,Petruk,Undirected,1
Gareng,Semar,Undirected,1
Gatotkaca,Abimanyu,Undirected,1
Nagabanda,Kresna,Undirected,1
Nagatatmala,Antareja,Undirected,4
Samba,Baladewa,Undirected,2
Nagatatmala,Samba,Undirected,1
Udawa,BayuBajra,Undirected,1
Gatotkaca,Werkudara,Undirected,1
Antareja,Duryudana,Undirected,1
Nagasewu,Werkudara,Undirected,1
Antareja,Nagasewu,Undirected,2
Kresna,Abimanyu,Undirected,1
Guru,Werkudara,Undirected,1
Nagatatmala,BayuBajra,Undirected,4
Nagagini,Werkudara,Undirected,1
Baladewa,Udawa,Undirected,1
Udawa,Kresna,Undirected,1
Petruk,Abimanyu,Undirected,1
Duryudana,Werkudara,Undirected,1
Semar,Petruk,Undirected,1
Nagatatmala,Duryudana,Undirected,1
Kresna,TunggulWulung,Undirected,1
Bagong,Petruk,Undirected,1
Semar,Abimanyu,Undirected,1
Samba,Kresna,Undirected,2
Puntadewa,Kresna,Undirected,1
Puntadewa,Anoman,Undirected,1
Nagagini,Nagabanda,Undirected,2
Semar,Abiyasa,Undirected,1
Gatotkaca,Guru,Undirected,1
Guru,Kresna,Undirected,1
Samba,Nagabanda,Undirected,1
Samba,Udawa,Undirected,1
Antareja,Werkudara,Undirected,1
BayuBajra,Werkudara,Undirected,1
Gareng,Abimanyu,Undirected,1
Antareja,Durna,Undirected,1
Durna,Nagabanda,Undirected,1
Gatotkaca,Kresna,Undirected,1
Nagatatmala,Nagasewu,Undirected,2
Antareja,Baladewa,Undirected,2
Gatotkaca,TunggulWulung,Undirected,1
Nagasewu,BayuBajra,Undirected,2
BayuBajra,Baladewa,Undirected,2
Bagong,Abimanyu,Undirected,1
Gareng,Abiyasa,Undirected,1
Durna,BayuBajra,Undirected,1
Nagagini,BayuBajra,Undirected,2
Gareng,Bagong,Undirected,1
Nagagini,Nagasewu,Undirected,3
Nagatatmala,Baladewa,Undirected,1
Guru,TunggulWulung,Undirected,1
Abiyasa,Bagong,Undirected,1
Guru,Abimanyu,Undirected,1
Nagabanda,Duryudana,Undirected,1
Anoman,Kresna,Undirected,2
Nagatatmala,Udawa,Undirected,1
Nagagini,Antareja,Undirected,2
Nagatatmala,Nagagini,Undirected,2
Banowati,Nagasewu,Undirected,1
Nagatatmala,Kresna,Undirected,1
Anoman,Abimanyu,Undirected,1
Anoman,TunggulWulung,Undirected,1
Nagabanda,Werkudara,Undirected,1
Durna,Nagasewu,Undirected,2
Udawa,Nagabanda,Undirected,1
Nagatatmala,Durna,Undirected,1
Baladewa,Kresna,Undirected,2
Antareja,BayuBajra,Undirected,5
Abiyasa,Abimanyu,Undirected,1
Antareja,Nagabanda,Undirected,4
Semar,Bagong,Undirected,1
Guru,Anoman,Undirected,1
Baladewa,Nagabanda,Undirected,1
