Source,Target,Type,Weight
Gareng,Bagong,Undirected,1
Pandu,Surati_Mantra,Undirected,1
Pandu,Rara_Ireng,Undirected,1
Rohini,Baladewa,Undirected,1
Basudewa,Rara_Ireng,Undirected,1
Baladewa,Badrahini,Undirected,1
Basudewa,Badrahini,Undirected,2
Gorawangsa,Surati_Mantra,Undirected,2
Dewaki,Kresna,Undirected,1
Petruk,Semar,Undirected,1
Dewaki,Pandu,Undirected,1
Surati_Mantra,Jaya_Bajra,Undirected,1
Kangsa,Pandu,Undirected,1
Maerah,Indra,Undirected,1
Gareng,Pandu,Undirected,1
Pandu,Petruk,Undirected,1
Bismaka,Basudewa,Undirected,4
Bagong,Semar,Undirected,1
Ugrasena,Bismaka,Undirected,1
Indra,Basudewa,Undirected,1
Rohini,Kresna,Undirected,1
Maerah,Gorawangsa,Undirected,2
Pandu,Kresna,Undirected,1
Kangsa,Basudewa,Undirected,1
Pandu,Badrahini,Undirected,1
Kresna,Rara_Ireng,Undirected,1
Kangsa,Bismaka,Undirected,1
Pandu,Bagong,Undirected,1
Maerah,Pandu,Undirected,1
Maerah,Basudewa,Undirected,3
Kangsa,Gorawangsa,Undirected,1
Kangsa,Surati_Mantra,Undirected,1
Rohini,Basudewa,Undirected,1
Pandu,Semar,Undirected,1
Saragupita,Basudewa,Undirected,1
Dewaki,Rara_Ireng,Undirected,1
Maerah,Dewaki,Undirected,1
Gorawangsa,Basudewa,Undirected,2
Dewaki,Basudewa,Undirected,2
Pandu,Bismaka,Undirected,2
Basudewa,Kresna,Undirected,1
Pandu,Basudewa,Undirected,3
Maerah,Badrahini,Undirected,1
Petruk,Bagong,Undirected,1
Kresna,Badrahini,Undirected,1
Bismaka,Gorawangsa,Undirected,2
Baladewa,Rara_Ireng,Undirected,1
Rohini,Rara_Ireng,Undirected,1
Gorawangsa,Jaya_Bajra,Undirected,1
Maerah,Kangsa,Undirected,1
Dewaki,Rohini,Undirected,1
Ugrasena,Saragupita,Undirected,2
Baladewa,Basudewa,Undirected,1
Indra,Badrahini,Undirected,1
Gareng,Petruk,Undirected,1
Baladewa,Kresna,Undirected,1
Dewaki,Baladewa,Undirected,1
Rohini,Badrahini,Undirected,1
Maerah,Surati_Mantra,Undirected,1
Ugrasena,Basudewa,Undirected,1
Pandu,Gorawangsa,Undirected,1
Bismaka,Saragupita,Undirected,1
Maerah,Bismaka,Undirected,2
Dewaki,Indra,Undirected,1
Rara_Ireng,Badrahini,Undirected,1
Rohini,Pandu,Undirected,1
Pandu,Baladewa,Undirected,1
Bismaka,Surati_Mantra,Undirected,1
Basudewa,Surati_Mantra,Undirected,1
Dewaki,Badrahini,Undirected,2
Gareng,Semar,Undirected,1
