Source,Target,Type,Weight
Gareng,Bagong,Undirected,1
Gatotkaca,Abimanyu,Undirected,2
Bilung,Brajamusthi,Undirected,1
Gatotkaca,Brajamusthi,Undirected,2
Petruk,Abimanyu,Undirected,1
Bagong,Abimanyu,Undirected,1
Bilung,Gatotkaca,Undirected,1
Gareng,Abimanyu,Undirected,1
Semar,Abiyasa,Undirected,1
Semar,Petruk,Undirected,1
Gatotkaca,Gareng,Undirected,1
Gatotkaca,Brajadhenta,Undirected,4
Durga,Sengkuni,Undirected,1
Durna,Duryudana,Undirected,1
Gareng,Petruk,Undirected,1
Sengkuni,Brajamusthi,Undirected,1
Sengkuni,Abimanyu,Undirected,1
Abiyasa,Petruk,Undirected,1
Bilung,Togog,Undirected,1
Brajadhenta,Sengkuni,Undirected,3
Brajamusthi,Togog,Undirected,1
Sengkuni,Kartamarma,Undirected,1
Gatotkaca,Kartamarma,Undirected,1
Brajadhenta,Kartamarma,Undirected,1
Gatotkaca,Banowati,Undirected,1
Bagong,Petruk,Undirected,1
Semar,Bagong,Undirected,1
Gatotkaca,Werkudara,Undirected,1
Durga,Brajamusthi,Undirected,1
Durga,Bilung,Undirected,1
Gatotkaca,Mangsahpati,Undirected,1
Brajadhenta,Bilung,Undirected,1
Gatotkaca,Sengkuni,Undirected,4
Abiyasa,Abimanyu,Undirected,1
Sengkuni,Durna,Undirected,1
Sengkuni,Banowati,Undirected,1
Brajadhenta,Banowati,Undirected,1
Sengkuni,Duryudana,Undirected,1
Semar,Abimanyu,Undirected,1
Gatotkaca,Togog,Undirected,1
Sengkuni,Werkudara,Undirected,1
Durga,Gatotkaca,Undirected,1
Brajadhenta,Duryudana,Undirected,1
Brajadhenta,Durna,Undirected,1
Gatotkaca,Duryudana,Undirected,1
Gatotkaca,Petruk,Undirected,1
Banowati,Duryudana,Undirected,1
Kartamarma,Durna,Undirected,1
Durga,Togog,Undirected,1
Sengkuni,Togog,Undirected,1
Abiyasa,Bagong,Undirected,1
Gatotkaca,Abiyasa,Undirected,1
Durga,Brajadhenta,Undirected,1
Brajadhenta,Brajamusthi,Undirected,2
Sengkuni,Bilung,Undirected,1
Kartamarma,Duryudana,Undirected,1
Gareng,Abiyasa,Undirected,1
Gatotkaca,Semar,Undirected,1
Brajadhenta,Togog,Undirected,1
Abimanyu,Werkudara,Undirected,1
Gatotkaca,Bagong,Undirected,1
Gatotkaca,Durna,Undirected,1
Gareng,Semar,Undirected,1
