Source,Target,Type,Weight
Nakula,Werkudara,Undirected,1
Karna,Duryudana,Undirected,1
_Raksasa1,_Raksasa2,Undirected,1
Arjuna,Abiyasa,Undirected,1
Nakula,Kunti,Undirected,1
Kartamarma,Werkudara,Undirected,1
Werkudara,_Raksasa2,Undirected,1
Durna,Duryudana,Undirected,1
Sengkuni,Karna,Undirected,1
Kunti,Sadewa,Undirected,1
Puntadewa,Kunti,Undirected,1
Werkudara,Indra,Undirected,1
Nembur_Nawa,Dewa_Ruci,Undirected,1
Kresna,Sadewa,Undirected,1
Sengkuni,Kartamarma,Undirected,1
Duryudana,Werkudara,Undirected,1
Sadewa,Werkudara,Undirected,1
Banowati,Duryudana,Undirected,1
Durna,Kresna,Undirected,1
Abiyasa,Durna,Undirected,1
_Raksasa2,Indra,Undirected,1
Arjuna,Kunti,Undirected,1
Kunti,Werkudara,Undirected,1
Werkudara,Dewa_Ruci,Undirected,1
Bayu,Indra,Undirected,1
Sengkuni,Durna,Undirected,1
Arjuna,Sadewa,Undirected,1
Arjuna,Werkudara,Undirected,3
Puntadewa,Werkudara,Undirected,1
Durna,Werkudara,Undirected,4
Nembur_Nawa,Werkudara,Undirected,1
_Raksasa1,Werkudara,Undirected,1
Karna,Werkudara,Undirected,1
Sengkuni,Duryudana,Undirected,1
Sengkuni,Werkudara,Undirected,1
_Raksasa1,Indra,Undirected,1
Nakula,Kresna,Undirected,1
Arjuna,Durna,Undirected,3
Arjuna,Puntadewa,Undirected,1
Bayu,_Raksasa2,Undirected,1
Bayu,_Raksasa1,Undirected,1
Nakula,Sadewa,Undirected,1
Kartamarma,Durna,Undirected,1
Nakula,Arjuna,Undirected,1
Puntadewa,Sadewa,Undirected,1
Bayu,Werkudara,Undirected,1
Nakula,Puntadewa,Undirected,1
Kresna,Werkudara,Undirected,2
Kartamarma,Duryudana,Undirected,1
Abiyasa,Werkudara,Undirected,1
Arjuna,Kresna,Undirected,2
Kunti,Kresna,Undirected,1
Durna,Karna,Undirected,1
Puntadewa,Kresna,Undirected,1
Kartamarma,Karna,Undirected,1
