Source,Target,Type,Weight
Baladewa,Sadewa,Undirected,1
Narada,Bendana,Undirected,1
Baladewa,Angganjali,Undirected,1
Indra,Pracona,Undirected,1
Ramayadi,Arimbi,Undirected,1
Karna,Surya,Undirected,1
Baladewa,Sekipu,Undirected,1
Gatotkaca,Sadewa,Undirected,1
Bendana,Arimbi,Undirected,1
Nakula,Werkudara,Undirected,1
Indra,Sekipu,Undirected,1
Arjuna,Sekipu,Undirected,1
Ramayadi,Narada,Undirected,1
Narada,Sadewa,Undirected,1
Guru,Panyarikan,Undirected,1
Nakula,Yudhistira,Undirected,1
Semar,Werkudara,Undirected,1
Baladewa,Kresna,Undirected,1
Werkudara,Bagong,Undirected,1
Nakula,Kresna,Undirected,1
Guru,Bendana,Undirected,1
Nakula,Arjuna,Undirected,1
Gatotkaca,Bendana,Undirected,1
Narada,Angganjali,Undirected,1
Narada,Surya,Undirected,1
Yudhistira,Kresna,Undirected,1
Kresna,Werkudara,Undirected,1
Panyarikan,Sekipu,Undirected,1
Bendana,Angganjali,Undirected,1
Gareng,Semar,Undirected,1
Baladewa,Arimbi,Undirected,1
Yudhistira,Sekipu,Undirected,1
Gatotkaca,Ramayadi,Undirected,1
Brahma,Narada,Undirected,1
Yudhistira,Baladewa,Undirected,1
Gatotkaca,Werkudara,Undirected,1
Gatotkaca,Narada,Undirected,2
Nakula,Narada,Undirected,1
Brahma,Sekipu,Undirected,1
Ramayadi,Pracona,Undirected,1
Narada,Sekipu,Undirected,3
Arjuna,Surya,Undirected,1
Narada,Arimbi,Undirected,1
Sekipu,Werkudara,Undirected,1
Ramayadi,Angganjali,Undirected,1
Gatotkaca,Arjuna,Undirected,1
Arjuna,Sadewa,Undirected,1
Kresna,Sekipu,Undirected,1
Brahma,Guru,Undirected,1
Arjuna,Karna,Undirected,2
Guru,Angganjali,Undirected,1
Guru,Indra,Undirected,1
Panyarikan,Pracona,Undirected,1
Gatotkaca,Baladewa,Undirected,2
Gatotkaca,Pracona,Undirected,1
Narada,Guru,Undirected,4
Arjuna,Yudhistira,Undirected,1
Narada,Baladewa,Undirected,2
Nakula,Sadewa,Undirected,1
Guru,Baladewa,Undirected,1
Ramayadi,Bendana,Undirected,1
Ramayadi,Baladewa,Undirected,1
Sekipu,Sadewa,Undirected,1
Narada,Indra,Undirected,1
Gatotkaca,Guru,Undirected,1
Gareng,Arjuna,Undirected,1
Arjuna,Bagong,Undirected,1
Narada,Yudhistira,Undirected,1
Indra,Panyarikan,Undirected,1
Sadewa,Werkudara,Undirected,1
Gatotkaca,Arimbi,Undirected,1
Narada,Karna,Undirected,2
Narada,Panyarikan,Undirected,1
Gatotkaca,Kresna,Undirected,1
Guru,Arimbi,Undirected,1
Yudhistira,Sadewa,Undirected,1
Arimbi,Pracona,Undirected,1
Gareng,Werkudara,Undirected,1
Gatotkaca,Sekipu,Undirected,1
Guru,Pracona,Undirected,2
Semar,Arjuna,Undirected,1
Yudhistira,Werkudara,Undirected,1
Narada,Kresna,Undirected,1
Arjuna,Baladewa,Undirected,1
Gatotkaca,Angganjali,Undirected,1
Gareng,Bagong,Undirected,1
Baladewa,Pracona,Undirected,1
Baladewa,Bendana,Undirected,1
Guru,Sekipu,Undirected,2
Sekipu,Pracona,Undirected,1
Durga,Guru,Undirected,1
Kresna,Sadewa,Undirected,1
Arimbi,Angganjali,Undirected,1
Bendana,Pracona,Undirected,1
Arjuna,Werkudara,Undirected,2
Nakula,Baladewa,Undirected,1
Arjuna,Narada,Undirected,3
Ramayadi,Guru,Undirected,1
Narada,Werkudara,Undirected,1
Gatotkaca,Yudhistira,Undirected,1
Angganjali,Pracona,Undirected,1
Narada,Pracona,Undirected,2
Semar,Bagong,Undirected,1
Baladewa,Werkudara,Undirected,1
Arjuna,Kresna,Undirected,1
Nakula,Sekipu,Undirected,1
Nakula,Gatotkaca,Undirected,1
