Source,Target,Type,Weight
Gareng,Bagong,Undirected,2
Kunti,Salya,Undirected,2
Semar,Pandu,Undirected,1
Gareng,Pandu,Undirected,1
Madrim,Kunti,Undirected,2
Madrim,Gendari,Undirected,1
Pandu,Sengkuni,Undirected,1
Kunti,Destarastra,Undirected,1
Kuntiboja,Karna,Undirected,1
Semar,Kunti,Undirected,1
Pandu,Petruk,Undirected,1
Bismaka,Basudewa,Undirected,1
Gareng,Salya,Undirected,2
Bagong,Salya,Undirected,3
Ugrasena,Bismaka,Undirected,1
Kunti,Basudewa,Undirected,1
Semar,Mandrakeswara,Undirected,1
Gareng,Kunti,Undirected,1
Madrim,Bagong,Undirected,2
Abiyasa,Destarastra,Undirected,1
Petruk,Mandrakeswara,Undirected,1
Madrim,Destarastra,Undirected,1
Madrim,Gareng,Undirected,2
Pandu,Gendari,Undirected,2
Kunti,Kuntiboja,Undirected,1
Pandu,Salya,Undirected,1
Kunti,Bagong,Undirected,1
Pandu,Bagong,Undirected,1
Madrim,Salya,Undirected,2
Druwasa,Basudewa,Undirected,1
Pandu,Gendara,Undirected,1
Druwasa,Karna,Undirected,1
Madrim,Pandu,Undirected,2
Semar,Salya,Undirected,3
Kunti,Gendari,Undirected,1
Salya,Mandrakeswara,Undirected,1
Bagong,Mandrakeswara,Undirected,1
Ugrasena,Ngembat_Landeyan,Undirected,1
Madrim,Semar,Undirected,2
Pandu,Destarastra,Undirected,2
Sengkuni,Gendara,Undirected,1
Petruk,Salya,Undirected,3
Gareng,Mandrakeswara,Undirected,1
Kunti,Karna,Undirected,1
Druwasa,Kuntiboja,Undirected,1
Gendari,Destarastra,Undirected,1
Sengkuni,Gendari,Undirected,1
Semar,Petruk,Undirected,3
Pandu,Kunti,Undirected,2
Basudewa,Karna,Undirected,1
Madrim,Mandrakeswara,Undirected,1
Abiyasa,Yamawidura,Undirected,1
Pandu,Abiyasa,Undirected,1
Gareng,Petruk,Undirected,2
Kunti,Petruk,Undirected,1
Bagaspati,Pujawati,Undirected,1
Ugrasena,Basudewa,Undirected,1
Bismaka,Kuntiboja,Undirected,1
Semar,Bagong,Undirected,3
Druwasa,Kunti,Undirected,1
Bagong,Petruk,Undirected,3
Yamawidura,Destarastra,Undirected,1
Gendari,Gendara,Undirected,1
Madrim,Petruk,Undirected,2
Kuntiboja,Basudewa,Undirected,2
Pandu,Yamawidura,Undirected,1
Ugrasena,Kuntiboja,Undirected,1
Gareng,Semar,Undirected,2
