Source,Target,Type,Weight
Kresna,Guru,Undirected,2
Durna,Rukmini,Undirected,1
Brahala,Rukmara,Undirected,1
Arjuna,Duryudana,Undirected,1
Puntadewa,Rukmara,Undirected,1
Yuda_Kala_Kresna,Guru,Undirected,1
Anoman,Guru,Undirected,1
Yuda_Kala_Kresna,Indra,Undirected,1
Arjuna,Guru,Undirected,1
Anoman,Narada,Undirected,3
Semar,Werkudara,Undirected,1
Puntadewa,Werkudara,Undirected,3
Udawa,Guru,Undirected,1
Brahala,Arjuna,Undirected,2
Nakula,Arjuna,Undirected,1
Kresna,Duryudana,Undirected,1
Panyarikan,Guru,Undirected,1
Rukmara,Duryudana,Undirected,1
Narada,Guru,Undirected,2
Kresna,Werkudara,Undirected,3
Yuda_Kala_Kresna,Anoman,Undirected,1
Abiyasa,Werkudara,Undirected,1
Sadewa,Puntadewa,Undirected,1
Abiyasa,Petruk,Undirected,1
Udawa,Kresna,Undirected,2
Bismaka,Werkudara,Undirected,1
Gareng,Semar,Undirected,1
Puntadewa,Bismaka,Undirected,1
Sadewa,Bismaka,Undirected,1
Durna,Duryudana,Undirected,1
Durna,Kresna,Undirected,1
Sadewa,Durna,Undirected,1
Bagong,Arjuna,Undirected,1
Puntadewa,Durna,Undirected,2
Duryudana,Werkudara,Undirected,1
Sadewa,Arjuna,Undirected,1
Rukmini,Duryudana,Undirected,1
Semar,Petruk,Undirected,1
Gareng,Arjuna,Undirected,1
Rukmini,Rukmara,Undirected,1
Nakula,Puntadewa,Undirected,1
Rukmara,Kresna,Undirected,1
Indra,Guru,Undirected,1
Arjuna,Anoman,Undirected,1
Bagong,Petruk,Undirected,1
Werkudara,Guru,Undirected,1
Brahala,Duryudana,Undirected,1
Rukmini,Werkudara,Undirected,2
Durna,Arjuna,Undirected,2
Puntadewa,Duryudana,Undirected,1
Nakula,Werkudara,Undirected,1
Durna,Bismaka,Undirected,1
Semar,Abiyasa,Undirected,1
Nakula,Bismaka,Undirected,1
Padmanaba,Kresna,Undirected,1
Kresna,Arjuna,Undirected,3
Nakula,Sadewa,Undirected,1
Bagong,Werkudara,Undirected,1
Sadewa,Werkudara,Undirected,1
Brahala,Werkudara,Undirected,2
Narada,Panyarikan,Undirected,1
Puntadewa,Brahala,Undirected,2
Puntadewa,Arjuna,Undirected,3
Durna,Werkudara,Undirected,2
Gareng,Werkudara,Undirected,1
Semar,Arjuna,Undirected,1
Yuda_Kala_Kresna,Panyarikan,Undirected,1
Narada,Kresna,Undirected,3
Yuda_Kala_Kresna,Kresna,Undirected,1
Durna,Rukmara,Undirected,1
Gareng,Abiyasa,Undirected,1
Brahala,Kresna,Undirected,2
Rukmini,Brahala,Undirected,2
Gareng,Bagong,Undirected,1
Yuda_Kala_Kresna,Narada,Undirected,2
Rukmini,Kresna,Undirected,2
Petruk,Werkudara,Undirected,1
Abiyasa,Bagong,Undirected,1
Rukmara,Arjuna,Undirected,1
Nakula,Durna,Undirected,1
Anoman,Kresna,Undirected,3
Panyarikan,Indra,Undirected,1
Rukmini,Arjuna,Undirected,2
Udawa,Werkudara,Undirected,1
Puntadewa,Rukmini,Undirected,2
Padmanaba,Udawa,Undirected,1
Arjuna,Werkudara,Undirected,4
Arjuna,Narada,Undirected,1
Rukmara,Werkudara,Undirected,1
Narada,Indra,Undirected,1
Petruk,Arjuna,Undirected,1
Gareng,Petruk,Undirected,1
Durna,Brahala,Undirected,1
Puntadewa,Kresna,Undirected,2
Bismaka,Arjuna,Undirected,1
Semar,Bagong,Undirected,1
Abiyasa,Arjuna,Undirected,1
