Source,Target,Type,Weight
Arimbi,Kresna,Undirected,1
Gatotkaca,Antareja,Undirected,1
Baladewa,Antasena,Undirected,1
Gatotkaca,Bagong,Undirected,1
Nakula,Sengkuni,Undirected,1
Gatotkaca,Anoman,Undirected,1
Surabramadiraja,Gagak_Baka,Undirected,1
Nakula,Werkudara,Undirected,1
Baladewa,Anoman,Undirected,1
Anoman,Werkudara,Undirected,1
Puntadewa,Werkudara,Undirected,2
Gatotkaca,Wenang,Undirected,1
Nakula,Kresna,Undirected,1
Gagak_Baka,Arimbi,Undirected,1
Nakula,Arjuna,Undirected,1
Sadewa,Bimasakti,Undirected,1
Kresna,Werkudara,Undirected,2
Wenang,Kresna,Undirected,1
Werkudara,Arimbi,Undirected,2
Sadewa,Puntadewa,Undirected,1
Nakula,Bimasakti,Undirected,1
Werkudara,Baladewa,Undirected,2
Puntadewa,Antasena,Undirected,1
Gatotkaca,Gareng,Undirected,1
Gatotkaca,Werkudara,Undirected,3
Durna,Duryudana,Undirected,1
Surabramadiraja,Werkudara,Undirected,2
Duryudana,Baladewa,Undirected,1
Surabramadiraja,Kresna,Undirected,1
Durna,Baladewa,Undirected,1
Werkudara,Antasena,Undirected,2
Antareja,Anoman,Undirected,1
Duryudana,Werkudara,Undirected,1
Sadewa,Arjuna,Undirected,1
Sengkuni,Sadewa,Undirected,1
Sengkuni,Werkudara,Undirected,2
Sengkuni,Kresna,Undirected,1
Semar,Petruk,Undirected,1
Gatotkaca,Petruk,Undirected,1
Surabramadiraja,Bimasakti,Undirected,1
Nakula,Puntadewa,Undirected,1
Bagong,Petruk,Undirected,1
Gatotkaca,Sadewa,Undirected,1
Gatotkaca,Bimasakti,Undirected,3
Puntadewa,Kresna,Undirected,2
Gatotkaca,Baladewa,Undirected,1
Wenang,Bimasakti,Undirected,1
Gagak_Baka,Werkudara,Undirected,1
Bimasakti,Antasena,Undirected,2
Sengkuni,Arjuna,Undirected,1
Kresna,Arjuna,Undirected,1
Gatotkaca,Arjuna,Undirected,1
Antareja,Werkudara,Undirected,1
Nakula,Sadewa,Undirected,1
Sadewa,Werkudara,Undirected,1
Arimbi,Antasena,Undirected,1
Gatotkaca,Arimbi,Undirected,1
Surabramadiraja,Arimbi,Undirected,3
Gatotkaca,Kresna,Undirected,2
Gatotkaca,Surabramadiraja,Undirected,1
Durna,Werkudara,Undirected,1
Antareja,Baladewa,Undirected,1
Anoman,Antasena,Undirected,1
Surabramadiraja,Puntadewa,Undirected,1
Wenang,Antasena,Undirected,1
Puntadewa,Bimasakti,Undirected,2
Kresna,Antasena,Undirected,1
Gareng,Bagong,Undirected,1
Antareja,Antasena,Undirected,1
Gatotkaca,Puntadewa,Undirected,2
Puntadewa,Arjuna,Undirected,1
Gatotkaca,Sengkuni,Undirected,1
Surabramadiraja,Antasena,Undirected,1
Sengkuni,Baladewa,Undirected,2
Sengkuni,Bimasakti,Undirected,1
Wenang,Arimbi,Undirected,1
Semar,Gareng,Undirected,1
Surabramadiraja,Wenang,Undirected,1
Sengkuni,Puntadewa,Undirected,1
Puntadewa,Arimbi,Undirected,1
Sengkuni,Durna,Undirected,1
Anoman,Bimasakti,Undirected,1
Gatotkaca,Semar,Undirected,1
Arjuna,Werkudara,Undirected,1
Puntadewa,Wenang,Undirected,1
Bimasakti,Werkudara,Undirected,3
Sengkuni,Duryudana,Undirected,1
Sadewa,Kresna,Undirected,1
Gareng,Petruk,Undirected,1
Bimasakti,Kresna,Undirected,2
Baladewa,Bimasakti,Undirected,1
Semar,Bagong,Undirected,1
Arimbi,Bimasakti,Undirected,1
Bimasakti,Arjuna,Undirected,1
Gatotkaca,Antasena,Undirected,2
Nakula,Gatotkaca,Undirected,1
Antareja,Bimasakti,Undirected,1
Wenang,Werkudara,Undirected,1
