Source,Target,Type,Weight
Puntadewa,Narada,Undirected,2
Dhandhang,Dhamdharat,Undirected,2
Dhandhang,Mangsahpati,Undirected,1
Dhandhang,Asmarawati,Undirected,1
Sadewa,Dhandhang,Undirected,1
Nakula,Dhamdharat,Undirected,2
Nakula,Werkudara,Undirected,2
Sadewa,Dhamdharat,Undirected,2
Kencana_Wulan,Dhamdharat,Undirected,1
Rara_Ireng,Arjuna,Undirected,1
Narada,Sadewa,Undirected,1
Gareng,Arjuna,Undirected,1
Puntadewa,Werkudara,Undirected,2
Mangsahpati,Arjuna,Undirected,1
Nakula,Kresna,Undirected,2
Banowati,Duryudana,Undirected,1
Brahala,Arjuna,Undirected,1
Nakula,Arjuna,Undirected,2
Bagong,Kresna,Undirected,1
Asmarawati,Arjuna,Undirected,2
Kresna,Werkudara,Undirected,2
Kencana_Wulan,Asmarawati,Undirected,1
Petruk,Rara_Ireng,Undirected,1
Nakula,Mangsahpati,Undirected,1
Sengkuni,Dhamdharat,Undirected,1
Gareng,Semar,Undirected,1
Semar,Rara_Ireng,Undirected,1
Nakula,Dhandhang,Undirected,1
Ratmuka,Kencana_Wulan,Undirected,1
Durna,Duryudana,Undirected,1
Nakula,Narada,Undirected,1
Puntadewa,Durna,Undirected,1
Gareng,Rara_Ireng,Undirected,1
Puntadewa,Mangsahpati,Undirected,1
Dhandhang,Arjuna,Undirected,3
Gareng,Kresna,Undirected,1
Kresna,Rara_Ireng,Undirected,1
Mangsahpati,Kresna,Undirected,1
Brahala,Rara_Ireng,Undirected,1
Durna,Dhamdharat,Undirected,1
Bagong,Arjuna,Undirected,1
Dhandhang,Kencana_Wulan,Undirected,2
Semar,Dhandhang,Undirected,1
Arjuna,Sadewa,Undirected,2
Garuda,Duryudana,Undirected,1
Semar,Petruk,Undirected,1
Semar,Brahala,Undirected,1
Mangsahpati,Werkudara,Undirected,1
Kartamarma,Durna,Undirected,1
Sengkuni,Duryudana,Undirected,1
Sadewa,Mangsahpati,Undirected,1
Nakula,Puntadewa,Undirected,2
Dhandhang,Ratmuka,Undirected,1
Dhandhang,Petruk,Undirected,1
Bagong,Petruk,Undirected,1
Garuda,Narada,Undirected,1
Puntadewa,Kresna,Undirected,2
Ratmuka,Kresna,Undirected,1
Puntadewa,Duryudana,Undirected,2
Asmarawati,Ratmuka,Undirected,2
Bagong,Rara_Ireng,Undirected,1
Puntadewa,Kartamarma,Undirected,1
Kresna,Arjuna,Undirected,4
Kresna,Kencana_Wulan,Undirected,1
Arjuna,Puntadewa,Undirected,2
Kresna,Petruk,Undirected,1
Nakula,Sadewa,Undirected,2
Sengkuni,Kartamarma,Undirected,1
Sadewa,Werkudara,Undirected,2
Kresna,Asmarawati,Undirected,1
Kartamarma,Dhamdharat,Undirected,1
Mangsahpati,Dhamdharat,Undirected,1
Dhandhang,Kresna,Undirected,3
Arjuna,Ratmuka,Undirected,2
Puntadewa,Sadewa,Undirected,2
Bagong,Brahala,Undirected,1
Puntadewa,Dhamdharat,Undirected,4
Kencana_Wulan,Arjuna,Undirected,1
Semar,Arjuna,Undirected,1
Asmarawati,Dhamdharat,Undirected,1
Duryudana,Dhamdharat,Undirected,2
Semar,Kresna,Undirected,1
Garuda,Dhamdharat,Undirected,1
Ratmuka,Dhamdharat,Undirected,1
Narada,Kresna,Undirected,1
Dhandhang,Brahala,Undirected,1
Brahala,Kresna,Undirected,1
Arjuna,Dhamdharat,Undirected,3
Gareng,Bagong,Undirected,1
Puntadewa,Dhandhang,Undirected,1
Narada,Dhamdharat,Undirected,2
Dhandhang,Rara_Ireng,Undirected,1
Kresna,Sadewa,Undirected,2
Kartamarma,Duryudana,Undirected,1
Narada,Duryudana,Undirected,1
Sengkuni,Puntadewa,Undirected,1
Sengkuni,Durna,Undirected,1
Arjuna,Werkudara,Undirected,2
Arjuna,Narada,Undirected,1
Narada,Werkudara,Undirected,1
Puntadewa,Garuda,Undirected,1
Bagong,Dhandhang,Undirected,1
Petruk,Arjuna,Undirected,1
Gareng,Petruk,Undirected,1
Gareng,Brahala,Undirected,1
Brahala,Petruk,Undirected,1
Gareng,Dhandhang,Undirected,1
Werkudara,Dhamdharat,Undirected,2
Dhandhang,Werkudara,Undirected,1
Semar,Bagong,Undirected,1
Kresna,Dhamdharat,Undirected,2
