Source,Target,Type,Weight
Bismaka,Narada,Undirected,1
Gareng,Bagong,Undirected,1
Badrahini,Basudewa,Undirected,1
Pragota,Saragupita,Undirected,1
Basudewa,Narada,Undirected,1
Arjuna,Indra,Undirected,1
Rara_Ireng,Semar,Undirected,1
Narada,Guru,Undirected,1
Baladewa,Indra,Undirected,1
Kurandhayaksa,Kartapiyoga,Undirected,2
Bismaka,Basudewa,Undirected,1
Surtikanthi,Arjuna,Undirected,1
Arjuna,Bagong,Undirected,1
Ugrasena,Bismaka,Undirected,1
Baladewa,Surtikanthi,Undirected,1
Erawati,Kartapiyoga,Undirected,1
Baladewa,Kartapiyoga,Undirected,1
Erawati,Surtikanthi,Undirected,1
Baladewa,Narada,Undirected,2
Yuda_Kothi,Nagaprasanta,Undirected,1
Baladewa,Guru,Undirected,1
Kartapiyoga,Surtikanthi,Undirected,1
Kurandhayaksa,Arjuna,Undirected,1
Maerah,Basudewa,Undirected,1
Arjuna,Yuda_Kothi,Undirected,1
Rara_Ireng,Arjuna,Undirected,1
Arjuna,Salya,Undirected,1
Rara_Ireng,Baladewa,Undirected,1
Kartapiyoga,Arjuna,Undirected,1
Saragupita,Basudewa,Undirected,1
Arjuna,Guru,Undirected,1
Maerah,Dewaki,Undirected,1
Kurandhayaksa,Surtikanthi,Undirected,1
Dewaki,Basudewa,Undirected,1
Arjuna,Petruk,Undirected,1
Saragupita,Narada,Undirected,1
Arjuna,Narada,Undirected,2
Maerah,Badrahini,Undirected,1
Narada,Indra,Undirected,1
Kurandhayaksa,Erawati,Undirected,1
Baladewa,Salya,Undirected,1
Erawati,Baladewa,Undirected,1
Semar,Petruk,Undirected,1
Gareng,Arjuna,Undirected,1
Semar,Arjuna,Undirected,2
Ugrasena,Saragupita,Undirected,1
Gareng,Petruk,Undirected,1
Baladewa,Arjuna,Undirected,4
Erawati,Arjuna,Undirected,1
Arjuna,Nagaprasanta,Undirected,1
Ugrasena,Basudewa,Undirected,1
Ugrasena,Narada,Undirected,1
Indra,Guru,Undirected,1
Bismaka,Saragupita,Undirected,1
Semar,Bagong,Undirected,1
Salya,Narada,Undirected,1
Bagong,Petruk,Undirected,1
Semar,Baladewa,Undirected,1
Dewaki,Badrahini,Undirected,1
Kurandhayaksa,Baladewa,Undirected,1
Gareng,Semar,Undirected,1
