Source,Target,Type,Weight
Gatotkaca,Kanastren,Undirected,1
Baladewa,Sadewa,Undirected,1
Antakawulan,Kresna,Undirected,2
Puntadewa,Rama,Undirected,1
Baladewa,Lesmana_Murdaka,Undirected,1
Kanastren,Barata,Undirected,1
Sengkuni,Abimanyu,Undirected,1
Semar,Arjuna,Undirected,1
Gatotkaca,Antakawulan,Undirected,1
Sengkuni,Kanastren,Undirected,1
Kanastren,Rama,Undirected,1
Kanastren,Bagong,Undirected,1
Nakula,Werkudara,Undirected,1
Rama,Barata,Undirected,2
Arjuna,Rama,Undirected,2
Puntadewa,Werkudara,Undirected,1
Antakawulan,Gareng,Undirected,1
Semar,Abimanyu,Undirected,1
Gatotkaca,Wenang,Undirected,1
Nakula,Kresna,Undirected,1
Banowati,Duryudana,Undirected,1
Karna,Kanastren,Undirected,1
Arjuna,Lesmana_Murdaka,Undirected,3
Nakula,Arjuna,Undirected,1
Sugriwa,Rama,Undirected,1
Puntadewa,Petruk,Undirected,1
Bagong,Kresna,Undirected,1
Bagong,Sadewa,Undirected,1
Kresna,Werkudara,Undirected,1
Baladewa,Gareng,Undirected,1
Wenang,Kresna,Undirected,1
Puntadewa,Gareng,Undirected,1
Nakula,Petruk,Undirected,1
Baladewa,Bagong,Undirected,1
Gareng,Semar,Undirected,1
Gatotkaca,Abimanyu,Undirected,1
Karna,Duryudana,Undirected,1
Bagong,Werkudara,Undirected,1
Gatotkaca,Gareng,Undirected,1
Semar,Karna,Undirected,1
Duryudana,Kartamarma,Undirected,1
Durna,Duryudana,Undirected,1
Anoman,Rama,Undirected,2
Semar,Sengkuni,Undirected,2
Wenang,Lesmana_Murdaka,Undirected,1
Baladewa,Kanastren,Undirected,1
Arjuna,Barata,Undirected,2
Kanastren,Petruk,Undirected,1
Gareng,Kresna,Undirected,1
Sengkuni,Gareng,Undirected,1
Anoman,Arjuna,Undirected,1
Gatotkaca,Lesmana_Murdaka,Undirected,1
Sengkuni,Bagong,Undirected,1
Karna,Durna,Undirected,1
Satrugna,Barata,Undirected,1
Antakawulan,Bagong,Undirected,1
Petruk,Abimanyu,Undirected,1
Semar,Baladewa,Undirected,1
Durna,Kartamarma,Undirected,1
Antakawulan,Barata,Undirected,2
Arjuna,Sadewa,Undirected,1
Sengkuni,Petruk,Undirected,1
Semar,Lesmana_Murdaka,Undirected,1
Satrugna,Antakawulan,Undirected,1
Satrugna,Lesmana_Murdaka,Undirected,1
Semar,Petruk,Undirected,1
Gatotkaca,Petruk,Undirected,1
Karna,Abimanyu,Undirected,1
Puntadewa,Sadewa,Undirected,1
Antakawulan,Arjuna,Undirected,4
Anoman,Lesmana_Murdaka,Undirected,2
Nakula,Puntadewa,Undirected,1
Gareng,Sadewa,Undirected,1
Gatotkaca,Anoman,Undirected,1
Bagong,Petruk,Undirected,2
Gatotkaca,Semar,Undirected,1
Puntadewa,Kresna,Undirected,2
Kresna,Rama,Undirected,2
Gatotkaca,Karna,Undirected,1
Semar,Kanastren,Undirected,2
Kresna,Lesmana_Murdaka,Undirected,2
Semar,Rama,Undirected,1
Petruk,Kresna,Undirected,1
Arjuna,Puntadewa,Undirected,2
Arjuna,Bagong,Undirected,1
Anoman,Barata,Undirected,1
Karna,Bagong,Undirected,1
Gatotkaca,Arjuna,Undirected,2
Antakawulan,Sugriwa,Undirected,1
Nakula,Sadewa,Undirected,1
Gareng,Abimanyu,Undirected,1
Nakula,Bagong,Undirected,1
Sengkuni,Kartamarma,Undirected,1
Sadewa,Werkudara,Undirected,1
Nakula,Gareng,Undirected,1
Kanastren,Kresna,Undirected,1
Baladewa,Rama,Undirected,1
Gatotkaca,Rama,Undirected,1
Puntadewa,Baladewa,Undirected,2
Sugriwa,Lesmana_Murdaka,Undirected,1
Petruk,Sadewa,Undirected,1
Gatotkaca,Sengkuni,Undirected,1
Antakawulan,Puntadewa,Undirected,1
Puntadewa,Barata,Undirected,1
Karna,Petruk,Undirected,1
Gareng,Werkudara,Undirected,1
Antakawulan,Werkudara,Undirected,1
Puntadewa,Kanastren,Undirected,1
Semar,Kresna,Undirected,1
Wenang,Anoman,Undirected,1
Arjuna,Gareng,Undirected,1
Bagong,Abimanyu,Undirected,1
Gareng,Kanastren,Undirected,1
Karna,Kartamarma,Undirected,1
Arjuna,Baladewa,Undirected,2
Antakawulan,Lesmana_Murdaka,Undirected,2
Anoman,Sugriwa,Undirected,1
Antakawulan,Anoman,Undirected,1
Gareng,Bagong,Undirected,2
Petruk,Werkudara,Undirected,1
Karna,Sengkuni,Undirected,2
Antakawulan,Baladewa,Undirected,1
Sugriwa,Barata,Undirected,1
Antakawulan,Petruk,Undirected,1
Nakula,Antakawulan,Undirected,1
Gatotkaca,Kresna,Undirected,2
Petruk,Baladewa,Undirected,1
Kresna,Barata,Undirected,1
Anoman,Kresna,Undirected,1
Semar,Barata,Undirected,1
Kresna,Sadewa,Undirected,1
Wenang,Arjuna,Undirected,1
Gareng,Karna,Undirected,1
Kanastren,Abimanyu,Undirected,1
Baladewa,Werkudara,Undirected,1
Wenang,Rama,Undirected,1
Sengkuni,Durna,Undirected,1
Puntadewa,Semar,Undirected,1
Rama,Lesmana_Murdaka,Undirected,3
Arjuna,Petruk,Undirected,1
Lesmana_Murdaka,Barata,Undirected,3
Arjuna,Werkudara,Undirected,1
Nakula,Baladewa,Undirected,1
Sengkuni,Duryudana,Undirected,1
Satrugna,Arjuna,Undirected,1
Gareng,Petruk,Undirected,2
Antakawulan,Rama,Undirected,1
Baladewa,Kresna,Undirected,2
Baladewa,Barata,Undirected,1
Gatotkaca,Bagong,Undirected,1
Antakawulan,Sadewa,Undirected,1
Puntadewa,Lesmana_Murdaka,Undirected,1
Semar,Bagong,Undirected,1
Puntadewa,Bagong,Undirected,1
Arjuna,Kresna,Undirected,4
Kanastren,Lesmana_Murdaka,Undirected,1
Kanastren,Arjuna,Undirected,1
