Source,Target,Type,Weight
Gareng,Bagong,Undirected,1
Setyaki,Baladewa,Undirected,1
Arjuna,Dhadhungawuk,Undirected,1
Gatotkaca,Siti_Sendari,Undirected,1
Anoman,Bagong,Undirected,1
Setyaki,Kresna,Undirected,1
Gatotkaca,Abimanyu,Undirected,1
Siti_Sendari,RaraTemon,Undirected,2
Gatotkaca,Werkudara,Undirected,3
Kresna,Arjuna,Undirected,1
Arjuna,Semar,Undirected,3
Samba,Petruk,Undirected,1
Kresna,Petruk,Undirected,1
Anoman,Baladewa,Undirected,1
Siti_Sendari,Kresna,Undirected,2
Gatotkaca,Arjuna,Undirected,4
Siti_Sendari,Werkudara,Undirected,1
Kresna,Abimanyu,Undirected,1
Baladewa,RaraTemon,Undirected,1
Sengkuni,Baladewa,Undirected,1
Setyaki,Petruk,Undirected,1
Kresna,Werkudara,Undirected,1
Semar,Abimanyu,Undirected,1
Siti_Sendari,Abimanyu,Undirected,1
RaraTemon,Abimanyu,Undirected,1
RaraTemon,Werkudara,Undirected,1
Anoman,Arjuna,Undirected,1
Gareng,Baladewa,Undirected,1
Petruk,Semar,Undirected,1
Setyaki,Samba,Undirected,1
Semar,Baladewa,Undirected,1
Petruk,Anoman,Undirected,1
Petruk,Werkudara,Undirected,1
Anoman,Dhadhungawuk,Undirected,1
Gatotkaca,Kresna,Undirected,1
Bisawarna,Werkudara,Undirected,1
RaraTemon,Kresna,Undirected,2
Baladewa,Siti_Sendari,Undirected,1
Baladewa,Abimanyu,Undirected,1
Arjuna,Werkudara,Undirected,3
Siti_Sendari,Arjuna,Undirected,1
Baladewa,Kresna,Undirected,2
Werkudara,Semar,Undirected,3
Petruk,Bagong,Undirected,1
Gareng,Anoman,Undirected,1
Baladewa,Duryudana,Undirected,1
Gatotkaca,Dhadhungawuk,Undirected,1
Gatotkaca,Petruk,Undirected,1
Petruk,Arjuna,Undirected,1
Gareng,Petruk,Undirected,1
Semar,Kresna,Undirected,1
Baladewa,Arjuna,Undirected,1
Semar,Siti_Sendari,Undirected,1
Abimanyu,Werkudara,Undirected,1
RaraTemon,Arjuna,Undirected,1
Gatotkaca,Anoman,Undirected,1
Gatotkaca,RaraTemon,Undirected,1
Arjuna,Abimanyu,Undirected,1
Baladewa,Werkudara,Undirected,1
Baladewa,Samba,Undirected,1
Gatotkaca,Semar,Undirected,3
Samba,Kresna,Undirected,1
Baladewa,Petruk,Undirected,2
Semar,RaraTemon,Undirected,1
Baladewa,Bagong,Undirected,1
Gatotkaca,Baladewa,Undirected,1
