Source,Target,Type,Weight
Antareja,Arjuna,Undirected,1
JakaPupon,Kresna,Undirected,1
Gatotkaca,Antareja,Undirected,4
Antareja,Petruk,Undirected,1
Sri,Baladewa,Undirected,1
Petruk,Sri,Undirected,1
Antareja,JakaPupon,Undirected,2
Petruk,Togog,Undirected,2
Sadana,JakaPupon,Undirected,2
Bomanarakasura,Abimanyu,Undirected,1
Gatotkaca,Sadewa,Undirected,1
Nakula,Werkudara,Undirected,1
Sri,Sadana,Undirected,1
Antareja,Kresna,Undirected,2
Bomanarakasura,Desamuka,Undirected,1
Abimanyu,Werkudara,Undirected,1
Sadana,Semar,Undirected,2
Bilung,RaraTemon,Undirected,1
Semar,Werkudara,Undirected,1
Puntadewa,Werkudara,Undirected,1
Baladewa,Kresna,Undirected,2
Baladewa,Antareja,Undirected,2
Sadewa,Baladewa,Undirected,1
Nakula,Kresna,Undirected,1
Antareja,Sengkuni,Undirected,1
Banowati,Duryudana,Undirected,1
JakaPupon,Togog,Undirected,1
Nakula,Arjuna,Undirected,1
Sadana,Antareja,Undirected,2
Puntadewa,Petruk,Undirected,1
Abimanyu,Godhayitma,Undirected,1
Puntadewa,Antareja,Undirected,1
Kresna,Werkudara,Undirected,1
Sadewa,Semar,Undirected,1
Sadewa,Puntadewa,Undirected,1
Baladewa,Petruk,Undirected,1
Nakula,Petruk,Undirected,1
Duryudana,Lesmana_Mandrakumara,Undirected,1
Karna,Banowati,Undirected,1
Gatotkaca,Abimanyu,Undirected,4
Karna,Duryudana,Undirected,2
Antareja,Abimanyu,Undirected,3
Gatotkaca,Werkudara,Undirected,1
Puntadewa,Arjuna,Undirected,1
Anoman,Karna,Undirected,1
RaraTemon,Togog,Undirected,2
Kresna,Abimanyu,Undirected,2
Gatotkaca,Sadana,Undirected,2
Karna,Togog,Undirected,2
Sadewa,Petruk,Undirected,1
Sengkuni,Durna,Undirected,1
Puntadewa,Semar,Undirected,1
Sri,Kresna,Undirected,1
RaraTemon,Abimanyu,Undirected,1
Sri,RaraTemon,Undirected,2
Antareja,Karna,Undirected,1
Karna,Durna,Undirected,1
Puntadewa,Abimanyu,Undirected,1
Sadana,Togog,Undirected,1
Petruk,Abimanyu,Undirected,1
Baladewa,Togog,Undirected,1
Sadewa,Arjuna,Undirected,1
Sadana,Abimanyu,Undirected,2
Sadana,Baladewa,Undirected,1
Antareja,Werkudara,Undirected,1
Kresna,RaraTemon,Undirected,1
Gatotkaca,Baladewa,Undirected,2
Nakula,Antareja,Undirected,1
Semar,Petruk,Undirected,1
Gatotkaca,Petruk,Undirected,1
Sri,Karna,Undirected,1
Baladewa,RaraTemon,Undirected,1
Nakula,Puntadewa,Undirected,1
Semar,JakaPupon,Undirected,2
Gatotkaca,Togog,Undirected,1
Semar,Antareja,Undirected,3
Gatotkaca,Semar,Undirected,3
Gatotkaca,Bomanarakasura,Undirected,1
