Source,Target,Type,Weight
Gatotkaca,Kanastren,Undirected,2
Narada,Kanastren,Undirected,1
Kresna,Guru,Undirected,1
Gatotkaca,Antareja,Undirected,1
Sri,Antareja,Undirected,1
Gatotkaca,Yamadipati,Undirected,1
Bagong,Anoman,Undirected,1
Godakesa,Yamadipati,Undirected,1
Semar,Arjuna,Undirected,1
Antareja,Arjuna,Undirected,1
Narada,Arjuna,Undirected,1
Godakesa,Sinduragen,Undirected,2
Abimanyu,Sinduragen,Undirected,3
Nakula,Werkudara,Undirected,1
Sinduragen,Antareja,Undirected,1
Petruk,Antareja,Undirected,1
Semar,Sri,Undirected,1
Anoman,Werkudara,Undirected,1
Gatotkaca,Godakesa,Undirected,1
Sadana,Semar,Undirected,1
Petruk,Semar,Undirected,1
Guru,Puntadewa,Undirected,1
Puntadewa,Werkudara,Undirected,1
Sri,Godakesa,Undirected,1
Semar,Abimanyu,Undirected,2
Arjuna,Abimanyu,Undirected,2
Nakula,Kresna,Undirected,1
Godakesa,Abimanyu,Undirected,2
Puntadewa,Abimanyu,Undirected,1
Narada,Antareja,Undirected,1
Sadana,Antareja,Undirected,1
Puntadewa,Petruk,Undirected,1
Puntadewa,Antareja,Undirected,1
Bagong,Kresna,Undirected,1
Gareng,Antareja,Undirected,1
Kresna,Werkudara,Undirected,2
Sri,Werkudara,Undirected,1
_Guard,Arjuna,Undirected,1
Semar,Godakesa,Undirected,1
Nakula,Petruk,Undirected,1
Durna,Sadewa,Undirected,1
Guru,Kanastren,Undirected,1
Gareng,Semar,Undirected,1
Gatotkaca,Abimanyu,Undirected,3
Antareja,Abimanyu,Undirected,2
Gatotkaca,Gareng,Undirected,1
Nakula,Durna,Undirected,1
Guru,Godakesa,Undirected,1
Petruk,Anoman,Undirected,1
Guru,Antareja,Undirected,1
Godakesa,Antareja,Undirected,1
Godakesa,Kanastren,Undirected,2
Guru,Sinduragen,Undirected,1
Guru,Arjuna,Undirected,1
Gareng,Kresna,Undirected,1
Durna,Kresna,Undirected,2
Sadana,Arjuna,Undirected,1
Gatotkaca,_Guard,Undirected,1
Gatotkaca,Sinduragen,Undirected,2
Petruk,Abimanyu,Undirected,1
Sri,Sinduragen,Undirected,1
Puntadewa,Durna,Undirected,1
Sengkuni,Gareng,Undirected,1
Sadana,Abimanyu,Undirected,1
Sengkuni,Petruk,Undirected,1
Petruk,Bagong,Undirected,2
Sengkuni,Werkudara,Undirected,1
Sengkuni,Kresna,Undirected,1
Narada,Guru,Undirected,2
Gatotkaca,Petruk,Undirected,1
Sadana,Guru,Undirected,1
_Guard,Kanastren,Undirected,1
Puntadewa,Sadewa,Undirected,1
Puntadewa,Drupadi,Undirected,1
Guru,Semar,Undirected,1
Nakula,Puntadewa,Undirected,1
Indra,Guru,Undirected,1
Narada,Semar,Undirected,1
Gatotkaca,Semar,Undirected,1
Sri,Arjuna,Undirected,1
Gatotkaca,Bagong,Undirected,1
Yamadipati,Kanastren,Undirected,1
Bagong,Semar,Undirected,1
Sinduragen,Arjuna,Undirected,2
Kanastren,Antareja,Undirected,1
Yamadipati,Sinduragen,Undirected,1
Semar,Kanastren,Undirected,1
Sengkuni,Bagong,Undirected,1
Godakesa,_Guard,Undirected,1
Petruk,Kresna,Undirected,2
Godakesa,Arjuna,Undirected,2
Sadana,Kanastren,Undirected,1
Gatotkaca,Arjuna,Undirected,1
Guru,Sri,Undirected,1
Narada,Sinduragen,Undirected,1
Nakula,Sadewa,Undirected,1
Gareng,Abimanyu,Undirected,1
Bagong,Werkudara,Undirected,1
Sadewa,Werkudara,Undirected,1
Sadana,Sri,Undirected,2
Petruk,Durna,Undirected,2
Semar,Sinduragen,Undirected,1
Sadana,Puntadewa,Undirected,1
_Guard,Abimanyu,Undirected,1
Petruk,Sadewa,Undirected,1
Puntadewa,Arjuna,Undirected,1
Durna,Werkudara,Undirected,2
Gareng,Werkudara,Undirected,1
Gareng,Anoman,Undirected,1
Durna,Anoman,Undirected,1
Puntadewa,Kanastren,Undirected,1
Narada,Puntadewa,Undirected,1
Bagong,Abimanyu,Undirected,1
Narada,Kresna,Undirected,1
Gareng,Durna,Undirected,1
Gareng,Bagong,Undirected,2
Durna,Bagong,Undirected,1
_Guard,Sinduragen,Undirected,1
Petruk,Werkudara,Undirected,2
Guru,Abimanyu,Undirected,1
Narada,Godakesa,Undirected,1
Antareja,Antaboga,Undirected,1
_Guard,Yamadipati,Undirected,1
Anoman,Kresna,Undirected,1
Kresna,Sadewa,Undirected,1
Sadana,Godakesa,Undirected,1
Sri,Abimanyu,Undirected,1
Kanastren,Sinduragen,Undirected,3
Kanastren,Abimanyu,Undirected,3
Yamadipati,Arjuna,Undirected,1
Puntadewa,Semar,Undirected,1
Bagong,Antareja,Undirected,1
Sadana,Sinduragen,Undirected,1
Sengkuni,Durna,Undirected,1
Sengkuni,Anoman,Undirected,1
Indra,Kresna,Undirected,1
Puntadewa,Godakesa,Undirected,1
Narada,Sri,Undirected,1
Narada,Indra,Undirected,1
Yamadipati,Abimanyu,Undirected,1
Sri,Kanastren,Undirected,1
Puntadewa,Sinduragen,Undirected,1
Gareng,Petruk,Undirected,2
Puntadewa,Kresna,Undirected,1
Narada,Abimanyu,Undirected,1
Sadana,Werkudara,Undirected,1
Puntadewa,Sri,Undirected,1
Narada,Sadana,Undirected,1
Kanastren,Arjuna,Undirected,2
Antareja,Semar,Undirected,2
