Source,Target,Type,Weight
Durga,Sadewa,Undirected,1
Tambrapeta,Kresna,Undirected,1
Nakula,Citrarata,Undirected,1
Kalantaka,Soka,Undirected,1
Nakula,Kunti,Undirected,1
Semar,Citrasena,Undirected,1
Sadewa,Citrarata,Undirected,1
Guru,Soka,Undirected,1
Pradapa,Arjuna,Undirected,1
Semar,Kunti,Undirected,1
Sadewa,Kunti,Undirected,2
Sadewa,Guru,Undirected,2
Wisanggeni,Citrasena,Undirected,1
Puntadewa,Kunti,Undirected,1
Guru,Tambrapeta,Undirected,1
Kalanjaya,Duryudana,Undirected,1
Kalika,Kresna,Undirected,1
Wisanggeni,Pancawala,Undirected,1
Kunti,Guru,Undirected,1
Sengkuni,Kalanjaya,Undirected,2
Citrasena,Kalantaka,Undirected,4
Citrasena,Soka,Undirected,1
Semar,Werkudara,Undirected,2
Citrasena,Duryudana,Undirected,1
Arjuna,Citrarata,Undirected,1
Kartamarma,Kalanjaya,Undirected,1
Durna,Kalantaka,Undirected,1
Sengkuni,Citrarata,Undirected,2
Nakula,Kresna,Undirected,2
Semar,Kalanjaya,Undirected,1
Nakula,Soka,Undirected,1
Banowati,Duryudana,Undirected,1
Kalantaka,Werkudara,Undirected,1
Nakula,Arjuna,Undirected,2
Pradapa,Werkudara,Undirected,1
Sengkuni,Citrasena,Undirected,2
Guru,Citrarata,Undirected,1
Kresna,Werkudara,Undirected,2
Citrarata,Soka,Undirected,1
Karna,Citrasena,Undirected,1
Sadewa,Semar,Undirected,2
Sadewa,Puntadewa,Undirected,1
Sadewa,Kalanjaya,Undirected,1
Citrasena,Arjuna,Undirected,1
Guru,Kresna,Undirected,1
Karna,Duryudana,Undirected,1
Arjuna,Soka,Undirected,1
Kresna,Kalantaka,Undirected,1
Semar,Pradapa,Undirected,1
Kalika,Guru,Undirected,1
Puntadewa,Arjuna,Undirected,1
Kresna,Citrarata,Undirected,1
Puntadewa,Semar,Undirected,1
Duryudana,Kalantaka,Undirected,1
Guru,Werkudara,Undirected,1
Wisanggeni,Kalanjaya,Undirected,1
Nakula,Semar,Undirected,2
Guru,Arjuna,Undirected,1
Nakula,Kalika,Undirected,1
Citrasena,Kalanjaya,Undirected,4
Kunti,Arjuna,Undirected,1
Pradapa,Kalantaka,Undirected,1
Sadewa,Arjuna,Undirected,2
Puntadewa,Kalika,Undirected,1
Nakula,Kalantaka,Undirected,1
Tambrapeta,Citrarata,Undirected,1
Durna,Citrasena,Undirected,1
Karna,Kalantaka,Undirected,1
Guru,Citrasena,Undirected,1
Tambrapeta,Soka,Undirected,2
Kalanjaya,Arjuna,Undirected,1
Kalika,Arjuna,Undirected,1
Guru,Semar,Undirected,1
Nakula,Puntadewa,Undirected,1
Kalanjaya,Kresna,Undirected,1
Kalantaka,Wisanggeni,Undirected,1
Puntadewa,Kresna,Undirected,1
Sadewa,Soka,Undirected,1
Citrarata,Wisanggeni,Undirected,1
Kalanjaya,Citrarata,Undirected,4
Citrarata,Werkudara,Undirected,1
Kalanjaya,Tambrapeta,Undirected,1
Sadewa,Citrasena,Undirected,1
Kartamarma,Citrarata,Undirected,1
Werkudara,Soka,Undirected,1
Tambrapeta,Arjuna,Undirected,1
Durna,Citrarata,Undirected,1
Guru,Pradapa,Undirected,1
Kresna,Soka,Undirected,1
Kresna,Arjuna,Undirected,2
Semar,Citrarata,Undirected,1
Nakula,Pradapa,Undirected,1
Nakula,Tambrapeta,Undirected,1
Kartamarma,Citrasena,Undirected,1
Nakula,Sadewa,Undirected,2
Kalanjaya,Kalantaka,Undirected,4
Sengkuni,Kartamarma,Undirected,1
Kunti,Kalika,Undirected,2
Sadewa,Werkudara,Undirected,2
Semar,Kalika,Undirected,1
Tambrapeta,Pradapa,Undirected,2
Nakula,Guru,Undirected,1
Pradapa,Kresna,Undirected,1
Kartamarma,Durna,Undirected,1
Nakula,Kalanjaya,Undirected,1
Citrasena,Citrarata,Undirected,4
Kalantaka,Arjuna,Undirected,1
Durna,Kalanjaya,Undirected,1
Guru,Kalantaka,Undirected,1
Durga,Kalika,Undirected,1
Semar,Arjuna,Undirected,3
Semar,Soka,Undirected,1
Semar,Kresna,Undirected,2
Citrasena,Kresna,Undirected,1
Durga,Kunti,Undirected,2
Nakula,Citrasena,Undirected,1
Karna,Kalanjaya,Undirected,1
Sadewa,Kalantaka,Undirected,1
Sadewa,Kalika,Undirected,2
Sadewa,Tambrapeta,Undirected,1
Kalanjaya,Werkudara,Undirected,1
Kalika,Werkudara,Undirected,1
Kartamarma,Kalantaka,Undirected,1
Durna,Duryudana,Undirected,1
Durga,Guru,Undirected,1
Sengkuni,Karna,Undirected,1
Sadewa,Pradapa,Undirected,1
Citrarata,Duryudana,Undirected,1
Kalanjaya,Soka,Undirected,1
Durna,Karna,Undirected,1
Citrasena,Werkudara,Undirected,1
Pradapa,Soka,Undirected,2
Semar,Kalantaka,Undirected,1
Puntadewa,Werkudara,Undirected,1
Sengkuni,Durna,Undirected,1
Tambrapeta,Werkudara,Undirected,1
Arjuna,Werkudara,Undirected,2
Karna,Citrarata,Undirected,1
Sengkuni,Duryudana,Undirected,1
Nakula,Werkudara,Undirected,2
Sadewa,Kresna,Undirected,2
Kalanjaya,Pradapa,Undirected,1
Pradapa,Citrarata,Undirected,1
Semar,Tambrapeta,Undirected,1
Citrarata,Kalantaka,Undirected,4
Sengkuni,Kalantaka,Undirected,2
Citrasena,Tambrapeta,Undirected,1
Kartamarma,Duryudana,Undirected,1
Guru,Kalanjaya,Undirected,1
Kunti,Werkudara,Undirected,1
Kunti,Kresna,Undirected,1
Citrasena,Pradapa,Undirected,1
Tambrapeta,Kalantaka,Undirected,1
Kartamarma,Karna,Undirected,1
