Source,Target,Type,Weight
Arjuna,_Raksasa,Undirected,1
Wisnu,Werkudara,Undirected,1
_Boar,SuksmaLanggeng,Undirected,1
Arjuna,Nindyamaya,Undirected,2
Amonggati,Duryudana,Undirected,2
Nindyamaya,Duryudana,Undirected,2
Anoman,Banowati,Undirected,1
Banowati,Werkudara,Undirected,1
Durna,Nindyamaya,Undirected,1
Sengkuni,Arjuna,Undirected,1
Wisnu,Arjuna,Undirected,2
Wisnu,Duryudana,Undirected,1
Arjuna,Amonggati,Undirected,2
Banowati,Nindyamaya,Undirected,1
Kresna,Arjuna,Undirected,1
Karna,Kresna,Undirected,1
Durna,Duryudana,Undirected,2
Amonggati,Wisnu,Undirected,1
SuksmaLanggeng,Werkudara,Undirected,1
Kresna,Werkudara,Undirected,1
Wisnu,SuksmaLanggeng,Undirected,2
Wenang,SuksmaLanggeng,Undirected,1
Sengkuni,Karna,Undirected,1
SuksmaLanggeng,Nindyamaya,Undirected,1
Amonggati,Kresna,Undirected,1
Amonggati,Anoman,Undirected,3
Karna,Duryudana,Undirected,1
Sengkuni,SuksmaLanggeng,Undirected,1
Sengkuni,Kartamarma,Undirected,1
Nindyamaya,Kresna,Undirected,1
Duryudana,Werkudara,Undirected,2
Wenang,Arjuna,Undirected,1
Sengkuni,_Boar,Undirected,1
Wisnu,_Boar,Undirected,1
Durna,Banowati,Undirected,1
Durna,Kresna,Undirected,1
Anoman,Arjuna,Undirected,2
Anoman,Kresna,Undirected,1
SuksmaLanggeng,Duryudana,Undirected,1
Anoman,Werkudara,Undirected,3
Wenang,_Boar,Undirected,1
Wisnu,Anoman,Undirected,1
Amonggati,Durna,Undirected,1
Parasara,_Raksasa,Undirected,1
Sengkuni,Wenang,Undirected,1
Sengkuni,Wisnu,Undirected,1
Sengkuni,Durna,Undirected,1
Amonggati,Banowati,Undirected,1
_Boar,Arjuna,Undirected,1
Durna,Werkudara,Undirected,1
Parasara,Arjuna,Undirected,1
Sengkuni,Duryudana,Undirected,1
Durna,Anoman,Undirected,1
Sengkuni,Kresna,Undirected,1
Anoman,Duryudana,Undirected,2
Wisnu,Nindyamaya,Undirected,1
Banowati,Duryudana,Undirected,2
Arjuna,Duryudana,Undirected,1
Kartamarma,Durna,Undirected,1
Banowati,Arjuna,Undirected,1
Kresna,Duryudana,Undirected,2
Amonggati,SuksmaLanggeng,Undirected,1
Amonggati,Werkudara,Undirected,3
Banowati,_Raksasa,Undirected,1
Wenang,Wisnu,Undirected,1
Amonggati,Nindyamaya,Undirected,3
Arjuna,Werkudara,Undirected,2
SuksmaLanggeng,Kresna,Undirected,1
Kartamarma,Kresna,Undirected,1
SuksmaLanggeng,Arjuna,Undirected,2
Anoman,SuksmaLanggeng,Undirected,1
Kartamarma,Duryudana,Undirected,1
Durna,Karna,Undirected,1
Banowati,Parasara,Undirected,1
Wisnu,Kresna,Undirected,1
Anoman,Nindyamaya,Undirected,3
Nindyamaya,Werkudara,Undirected,3
Kartamarma,Karna,Undirected,1
