Source,Target,Type,Weight
Samba,Arjuna,Undirected,2
Werkudara,Wulan_Dremi,Undirected,1
Setyaki,Udawa,Undirected,1
Setyaki,Kresna,Undirected,1
Sengkalawati,Samba,Undirected,1
Nakula,Werkudara,Undirected,1
Semar,Wulan_Dremi,Undirected,1
Setyaki,Samba,Undirected,2
Abimanyu,Werkudara,Undirected,2
Wulan_Drema,Werkudara,Undirected,1
Semar,Werkudara,Undirected,1
Puntadewa,Werkudara,Undirected,1
Semar,Abimanyu,Undirected,2
Arjuna,Abimanyu,Undirected,2
Samba,Werkudara,Undirected,2
Nakula,Kresna,Undirected,1
Banowati,Duryudana,Undirected,1
Narada,Wulan_Drema,Undirected,1
Nakula,Arjuna,Undirected,1
Kresna,Werkudara,Undirected,2
Sadewa,Puntadewa,Undirected,1
Kartamarma,Lesmana_Mandrakumara,Undirected,1
Wulan_Drema,Semar,Undirected,1
Karna,Duryudana,Undirected,1
Setyaki,Anoman,Undirected,2
Pulungsari,Lesmana_Mandrakumara,Undirected,1
Wulan_Dremi,Guru,Undirected,1
Indra,Wulan_Drema,Undirected,1
Puntadewa,Samba,Undirected,1
Kresna,Abimanyu,Undirected,2
Wulan_Drema,Lesmana_Mandrakumara,Undirected,1
Pulungsari,Sengkalawati,Undirected,2
Lesmana_Mandrakumara,Duryudana,Undirected,1
Puntadewa,Abimanyu,Undirected,1
Samba,Durna,Undirected,1
Sadewa,Arjuna,Undirected,1
Narada,Guru,Undirected,1
Samba,Semar,Undirected,1
Durna,Udawa,Undirected,1
Nakula,Puntadewa,Undirected,1
Indra,Guru,Undirected,1
Samba,Kresna,Undirected,3
Kresna,Wulan_Dremi,Undirected,1
Puntadewa,Kresna,Undirected,1
Sadewa,Samba,Undirected,1
Pulungsari,Samba,Undirected,1
Samba,Wulan_Drema,Undirected,1
Kresna,Arjuna,Undirected,2
Samba,Wulan_Dremi,Undirected,1
Samba,Udawa,Undirected,1
Sengkalawati,Wulan_Drema,Undirected,1
Nakula,Sadewa,Undirected,1
Sengkuni,Kartamarma,Undirected,1
Wulan_Dremi,Wulan_Drema,Undirected,2
Sadewa,Werkudara,Undirected,1
Sadewa,Abimanyu,Undirected,1
Abimanyu,Wulan_Dremi,Undirected,1
Anoman,Udawa,Undirected,1
Puntadewa,Arjuna,Undirected,1
Nakula,Samba,Undirected,1
Samba,Abimanyu,Undirected,2
Semar,Arjuna,Undirected,1
Kartamarma,Durna,Undirected,1
Durna,Lesmana_Mandrakumara,Undirected,2
Semar,Kresna,Undirected,1
Wulan_Drema,Kresna,Undirected,1
Anoman,Samba,Undirected,2
Wulan_Drema,Arjuna,Undirected,1
Wulan_Dremi,Indra,Undirected,1
Anoman,Durna,Undirected,1
Durna,Duryudana,Undirected,1
Anoman,Kresna,Undirected,1
Sengkuni,Karna,Undirected,2
Durna,Karna,Undirected,2
Nakula,Abimanyu,Undirected,1
Arjuna,Wulan_Dremi,Undirected,1
Sengkuni,Durna,Undirected,2
Wulan_Drema,Abimanyu,Undirected,1
Sengkuni,Lesmana_Mandrakumara,Undirected,2
Arjuna,Werkudara,Undirected,2
Sengkuni,Duryudana,Undirected,1
Narada,Indra,Undirected,1
Sadewa,Kresna,Undirected,1
Wulan_Drema,Guru,Undirected,1
Karna,Lesmana_Mandrakumara,Undirected,2
Pulungsari,Wulan_Drema,Undirected,1
Setyaki,Durna,Undirected,1
Kartamarma,Duryudana,Undirected,1
Wulan_Dremi,Narada,Undirected,1
Sengkalawati,Lesmana_Mandrakumara,Undirected,1
Kartamarma,Karna,Undirected,1
