Source,Target,Type,Weight
Gareng,Bagong,Undirected,1
Semar,Ramaparasu,Undirected,1
Gatotkaca,Abimanyu,Undirected,3
Kartamarma,Lesmana_Mandrakumara,Undirected,1
Karna,Duryudana,Undirected,1
Setyaki,Kresna,Undirected,1
Gatotkaca,Puntadewa,Undirected,1
Setyaki,Anoman,Undirected,1
Nakula,Kresna,Undirected,1
Gatotkaca,Gareng,Undirected,1
Gatotkaca,Werkudara,Undirected,2
Puntadewa,Arjuna,Undirected,1
Durna,Duryudana,Undirected,1
Ramaparasu,Kresna,Undirected,1
Ramaparasu,Arjuna,Undirected,1
Anoman,Kresna,Undirected,1
Sengkuni,Karna,Undirected,1
Gatotkaca,Arjuna,Undirected,2
Kresna,Abimanyu,Undirected,2
Nakula,Sadewa,Undirected,1
Gareng,Abimanyu,Undirected,1
Ramaparasu,Bagong,Undirected,1
Sengkuni,Kartamarma,Undirected,1
Nakula,Werkudara,Undirected,1
Sadewa,Werkudara,Undirected,1
Nakula,Abimanyu,Undirected,1
Sadewa,Arjuna,Undirected,1
Arjuna,Abimanyu,Undirected,2
Semar,Bagong,Undirected,1
Lesmana_Mandrakumara,Duryudana,Undirected,1
Setyaki,Samba,Undirected,1
Abimanyu,Werkudara,Undirected,2
Puntadewa,Abimanyu,Undirected,1
Ramaparasu,Lesmana_Mandrakumara,Undirected,1
Sadewa,Abimanyu,Undirected,1
Petruk,Abimanyu,Undirected,1
Puntadewa,Werkudara,Undirected,1
Ramaparasu,Petruk,Undirected,1
Ramaparasu,Werkudara,Undirected,1
Sengkuni,Durna,Undirected,1
Gatotkaca,Kresna,Undirected,2
Sengkuni,Lesmana_Mandrakumara,Undirected,2
Gatotkaca,Semar,Undirected,1
Arjuna,Werkudara,Undirected,2
Gatotkaca,Ramaparasu,Undirected,2
Sengkuni,Duryudana,Undirected,1
Semar,Abimanyu,Undirected,1
Kresna,Arjuna,Undirected,2
Ramaparasu,Abimanyu,Undirected,2
Nakula,Arjuna,Undirected,1
Semar,Petruk,Undirected,1
Sadewa,Kresna,Undirected,1
Gatotkaca,Petruk,Undirected,1
Karna,Lesmana_Mandrakumara,Undirected,1
Banowati,Duryudana,Undirected,1
Gareng,Ramaparasu,Undirected,1
Kartamarma,Durna,Undirected,1
Durna,Lesmana_Mandrakumara,Undirected,1
Gareng,Petruk,Undirected,1
Sadewa,Puntadewa,Undirected,1
Puntadewa,Kresna,Undirected,1
Nakula,Puntadewa,Undirected,1
Anoman,Samba,Undirected,1
Bagong,Abimanyu,Undirected,1
Kresna,Werkudara,Undirected,2
Kartamarma,Duryudana,Undirected,1
Gatotkaca,Sadewa,Undirected,1
Bagong,Petruk,Undirected,1
Durna,Karna,Undirected,1
Samba,Kresna,Undirected,1
Nakula,Gatotkaca,Undirected,1
Gareng,Semar,Undirected,1
Gatotkaca,Bagong,Undirected,1
Kartamarma,Karna,Undirected,1
