Source,Target,Type,Weight
Pulungsari,Indra,Undirected,1
Antareja,Arjuna,Undirected,1
Gatotkaca,Pulungsari,Undirected,1
Gatotkaca,_Woman,Undirected,1
Gatotkaca,Antareja,Undirected,2
Durga,_Woman,Undirected,1
Gatotkaca,Sadewa,Undirected,2
Pulunggana,Dewasrani,Undirected,1
Pulungsari,Abimanyu,Undirected,1
Abimanyu,Werkudara,Undirected,2
Puntadewa,Werkudara,Undirected,2
Semar,Abimanyu,Undirected,2
Arjuna,Abimanyu,Undirected,2
Nakula,Kresna,Undirected,1
Antareja,Bendana,Undirected,1
Banowati,Duryudana,Undirected,1
Semar,_Lion,Undirected,1
Nakula,Arjuna,Undirected,2
Gatotkaca,Bendana,Undirected,2
Puntadewa,Antareja,Undirected,1
Parasara,Abimanyu,Undirected,1
Durga,Dewasrani,Undirected,1
Sadewa,Puntadewa,Undirected,2
Gareng,Semar,Undirected,1
Gatotkaca,Abimanyu,Undirected,5
Bagong,Parasara,Undirected,1
Karna,Duryudana,Undirected,1
Antareja,Abimanyu,Undirected,2
Gatotkaca,Gareng,Undirected,1
Gatotkaca,Werkudara,Undirected,2
Gatotkaca,Wisanggeni,Undirected,2
Duryudana,Kartamarma,Undirected,1
Durna,Duryudana,Undirected,1
Abimanyu,Bendana,Undirected,1
Kresna,Abimanyu,Undirected,1
Kresna,Werkudara,Undirected,1
Pulunggana,Guru,Undirected,1
Karna,Wisanggeni,Undirected,1
Sadewa,Antareja,Undirected,1
Durga,Semar,Undirected,1
Karna,Bendana,Undirected,1
Karna,Durna,Undirected,1
Gareng,_Lion,Undirected,1
Petruk,Abimanyu,Undirected,1
Pulungsari,_Woman,Undirected,1
Durna,Kartamarma,Undirected,1
Sadewa,Arjuna,Undirected,2
Dewasrani,Pulungsari,Undirected,1
_Lion,Abimanyu,Undirected,1
Nakula,Antareja,Undirected,1
Parasara,_Lion,Undirected,1
Narada,Guru,Undirected,1
Gatotkaca,Petruk,Undirected,1
Nakula,Puntadewa,Undirected,2
Indra,Guru,Undirected,1
Bagong,Petruk,Undirected,1
Gatotkaca,Semar,Undirected,2
Sadewa,Abimanyu,Undirected,2
Gatotkaca,Bagong,Undirected,1
Gatotkaca,Karna,Undirected,1
Nakula,Werkudara,Undirected,2
Gatotkaca,Pulunggana,Undirected,1
Semar,Parasara,Undirected,1
Semar,Petruk,Undirected,1
Kresna,Arjuna,Undirected,1
_Lion,Petruk,Undirected,1
Gatotkaca,Arjuna,Undirected,2
Wisanggeni,Abimanyu,Undirected,1
Antareja,Werkudara,Undirected,1
Nakula,Sadewa,Undirected,2
Gareng,Abimanyu,Undirected,1
Puntadewa,Abimanyu,Undirected,2
Sengkuni,Kartamarma,Undirected,1
Sadewa,Werkudara,Undirected,2
Pulunggana,_Woman,Undirected,1
Pulungsari,Guru,Undirected,1
Pulungsari,Semar,Undirected,1
Durga,Pulungsari,Undirected,2
Gatotkaca,Kresna,Undirected,1
Semar,_Woman,Undirected,1
Semar,Pulunggana,Undirected,1
Pulunggana,Narada,Undirected,1
Pulunggana,Abimanyu,Undirected,1
Bagong,Abimanyu,Undirected,1
Pulunggana,Pulungsari,Undirected,3
Karna,Kartamarma,Undirected,1
Durga,Pulunggana,Undirected,2
Bagong,_Lion,Undirected,1
Antareja,Wisanggeni,Undirected,1
Gareng,Bagong,Undirected,1
Gatotkaca,Durga,Undirected,1
Gatotkaca,Puntadewa,Undirected,2
Parasara,Petruk,Undirected,1
Puntadewa,Arjuna,Undirected,2
Karna,Sengkuni,Undirected,1
Durga,Abimanyu,Undirected,1
Nakula,Abimanyu,Undirected,2
_Woman,Abimanyu,Undirected,1
Gatotkaca,_Lion,Undirected,1
Sengkuni,Durna,Undirected,1
Pulunggana,Indra,Undirected,1
Arjuna,Werkudara,Undirected,2
Pulungsari,Narada,Undirected,1
Gatotkaca,Parasara,Undirected,1
Sengkuni,Duryudana,Undirected,1
Gareng,Parasara,Undirected,1
Narada,Indra,Undirected,1
Sadewa,Kresna,Undirected,1
Gareng,Petruk,Undirected,1
Wisanggeni,Bendana,Undirected,2
Puntadewa,Kresna,Undirected,1
Semar,Bagong,Undirected,1
Nakula,Gatotkaca,Undirected,2
