Source,Target,Type,Weight
Karna,Kesawasidhi,Undirected,1
Arjuna,Puntadewa,Undirected,1
Karna,Duryudana,Undirected,1
Gatotkaca,Narada,Undirected,1
Karna,Garuda,Undirected,1
Hagni,Arjuna,Undirected,1
Hagni,Bantala,Undirected,2
Bisawarna,Wibisana,Undirected,1
Bantala,Wibisana,Undirected,2
Rara_Ireng,Karna,Undirected,1
Duryudana,Kartamarma,Undirected,1
Karna,Sengkuni,Undirected,3
Bisawarna,Ranu,Undirected,1
Ranu,Bantala,Undirected,2
Rara_Ireng,Narada,Undirected,1
Anoman,Kresna,Undirected,1
Arjuna,Sintawaka,Undirected,1
Maruta,Ranu,Undirected,2
Kumbakarna,Werkudara,Undirected,1
Ranu,Hagni,Undirected,2
Kumbakarna,Wibisana,Undirected,1
Anoman,Kesawasidhi,Undirected,1
Narada,Sintawaka,Undirected,1
Sengkuni,Kartamarma,Undirected,1
Karna,Kresna,Undirected,1
Nakula,Werkudara,Undirected,1
Sadewa,Werkudara,Undirected,1
Karna,Werkudara,Undirected,1
Kumbakarna,Hagni,Undirected,1
Anoman,Arjuna,Undirected,1
Werkudara,Sintawaka,Undirected,1
Ranu,Arjuna,Undirected,1
Bisawarna,Maruta,Undirected,1
Maruta,Wibisana,Undirected,2
Karna,Durna,Undirected,1
Puntadewa,Sadewa,Undirected,1
Arjuna,Sadewa,Undirected,1
Kesawasidhi,Kresna,Undirected,1
Wibisana,Arjuna,Undirected,1
Sengkuni,Garuda,Undirected,1
Kumbakarna,Kresna,Undirected,1
Puntadewa,Werkudara,Undirected,1
Bisawarna,Kumbakarna,Undirected,1
Durna,Kartamarma,Undirected,1
Sengkuni,Durna,Undirected,1
Garuda,Anoman,Undirected,1
Sengkuni,Anoman,Undirected,1
Ranu,Kumbakarna,Undirected,1
Arjuna,Werkudara,Undirected,2
Arjuna,Karna,Undirected,2
Bisawarna,Bantala,Undirected,1
Sengkuni,Duryudana,Undirected,1
Rara_Ireng,Sintawaka,Undirected,2
Karna,Sintawaka,Undirected,1
Kresna,Sadewa,Undirected,1
Rara_Ireng,Arjuna,Undirected,1
Durna,Duryudana,Undirected,1
Rara_Ireng,Werkudara,Undirected,1
Hagni,Wibisana,Undirected,2
Banowati,Duryudana,Undirected,1
Nakula,Sadewa,Undirected,1
Nakula,Arjuna,Undirected,1
Kumbakarna,Bantala,Undirected,1
Nakula,Kresna,Undirected,1
Puntadewa,Kresna,Undirected,1
Rara_Ireng,Gatotkaca,Undirected,1
Maruta,Arjuna,Undirected,1
Maruta,Bantala,Undirected,2
Maruta,Hagni,Undirected,2
Karna,Kartamarma,Undirected,1
Gatotkaca,Sintawaka,Undirected,1
Arjuna,Kesawasidhi,Undirected,1
Karna,Anoman,Undirected,2
Arjuna,Kresna,Undirected,2
Ranu,Wibisana,Undirected,2
Bisawarna,Hagni,Undirected,1
Nakula,Puntadewa,Undirected,1
Kresna,Werkudara,Undirected,2
Bantala,Arjuna,Undirected,1
Maruta,Kumbakarna,Undirected,1
