Source,Target,Type,Weight
Samba,Setyaki,Undirected,1
Gareng,Bagong,Undirected,1
Gatotkaca,Abimanyu,Undirected,2
Semar,_Tiger,Undirected,1
Bagong,Abimanyu,Undirected,1
Bagong,Wisnu,Undirected,1
Semar,Wisnu,Undirected,1
Kresna,Guru,Undirected,1
Rukmini,Kresna,Undirected,1
Gatotkaca,Godhayitma,Undirected,2
Setyaki,Kresna,Undirected,1
Bomanarakasura,Antaboga,Undirected,1
Gatotkaca,Antaboga,Undirected,1
Narada,Kresna,Undirected,2
Narada,Guru,Undirected,1
Gatotkaca,Gareng,Undirected,1
Gatotkaca,Werkudara,Undirected,1
Gatotkaca,Samba,Undirected,1
Gatotkaca,_Tiger,Undirected,1
Setyaboma,Rukmini,Undirected,1
Wisnu,_Tiger,Undirected,1
Anoman,Desamuka,Undirected,1
Anoman,Godhayitma,Undirected,1
Gareng,Abimanyu,Undirected,1
Bomanarakasura,Godhayitma,Undirected,2
Gatotkaca,Anoman,Undirected,1
Wisnu,Abimanyu,Undirected,1
Wisanggeni,Antaboga,Undirected,2
Desamuka,Werkudara,Undirected,1
Wisanggeni,Guru,Undirected,1
Narada,Wisanggeni,Undirected,2
Baladewa,Setyaki,Undirected,1
Desamuka,Antaboga,Undirected,1
Semar,Bagong,Undirected,1
Desamuka,Godhayitma,Undirected,2
Antaboga,Kresna,Undirected,2
Wisanggeni,Kresna,Undirected,2
Antaboga,Godhayitma,Undirected,1
Abimanyu,Werkudara,Undirected,1
_Tiger,Petruk,Undirected,1
Bagong,Petruk,Undirected,1
Petruk,Abimanyu,Undirected,1
Narada,Antaboga,Undirected,2
Desamuka,Abimanyu,Undirected,1
Gatotkaca,Kresna,Undirected,1
Antaboga,Guru,Undirected,1
Gatotkaca,Wisnu,Undirected,1
Anoman,Abimanyu,Undirected,1
Anoman,Werkudara,Undirected,1
Kresna,Jembawati,Undirected,1
Antaboga,Abimanyu,Undirected,1
Antaboga,Werkudara,Undirected,1
Bomanarakasura,Baladewa,Undirected,1
Baladewa,Kresna,Undirected,1
Gareng,Wisnu,Undirected,1
Gatotkaca,Baladewa,Undirected,1
Bagong,_Tiger,Undirected,1
Semar,Petruk,Undirected,1
Gatotkaca,Petruk,Undirected,1
Godhayitma,Werkudara,Undirected,1
Bomanarakasura,Kresna,Undirected,2
Bomanarakasura,Desamuka,Undirected,2
Setyaboma,Kresna,Undirected,1
Bomanarakasura,Setyaki,Undirected,1
Gareng,Petruk,Undirected,1
_Tiger,Abimanyu,Undirected,1
Semar,Abimanyu,Undirected,1
Godhayitma,Abimanyu,Undirected,1
Bomanarakasura,Samba,Undirected,1
Samba,Baladewa,Undirected,1
Gatotkaca,Desamuka,Undirected,2
Bomanarakasura,Werkudara,Undirected,1
Anoman,Antaboga,Undirected,1
Bomanarakasura,Abimanyu,Undirected,1
Gatotkaca,Setyaki,Undirected,1
Gareng,_Tiger,Undirected,1
Gatotkaca,Semar,Undirected,1
Gatotkaca,Bomanarakasura,Undirected,3
Samba,Kresna,Undirected,1
Wisnu,Petruk,Undirected,1
Gareng,Semar,Undirected,1
Gatotkaca,Bagong,Undirected,1
Rukmini,Jembawati,Undirected,1
Bomanarakasura,Anoman,Undirected,2
Setyaboma,Jembawati,Undirected,1
