Source,Target,Type,Weight
Durga,Bagus,Undirected,1
Narada,Dewasrani,Undirected,1
Setyaki,Kresna,Undirected,2
Wenang,Arjuna,Undirected,1
Petruk,Bagus,Undirected,1
Setyaboma,Rukmini,Undirected,1
Narada,Arjuna,Undirected,2
Dewasrani,Resi,Undirected,1
Gatotkaca,Sadewa,Undirected,1
Nakula,Werkudara,Undirected,1
Narada,Werkudara,Undirected,1
Kamajaya,Kresna,Undirected,1
Dewasrani,Werkudara,Undirected,1
Setyaki,Samba,Undirected,2
Durga,Narada,Undirected,2
Kamajaya,Dersanala,Undirected,1
Werkudara,Bagus,Undirected,1
Bagong,Bagus,Undirected,1
Narada,Bagus,Undirected,2
Dewasrani,Dersanala,Undirected,1
Puntadewa,Werkudara,Undirected,1
Narada,Dersanala,Undirected,1
Resi,Kresna,Undirected,1
Nakula,Kresna,Undirected,1
Kamajaya,Wisanggeni,Undirected,1
Wenang,Bagus,Undirected,1
Wenang,Dersanala,Undirected,1
Indra,Dersanala,Undirected,1
Puntadewa,Wisanggeni,Undirected,1
Gatotkaca,Guru,Undirected,1
Kresna,Werkudara,Undirected,2
Durga,Dewasrani,Undirected,2
Wenang,Kresna,Undirected,1
Semar,Dersanala,Undirected,1
Resi,Dersanala,Undirected,1
Guru,Semar,Undirected,1
Gatotkaca,Samba,Undirected,2
Gareng,Kamajaya,Undirected,1
Guru,Resi,Undirected,1
Semar,Wisanggeni,Undirected,1
Durga,Werkudara,Undirected,1
Durga,Brahma,Undirected,2
Narada,Gareng,Undirected,1
Guru,Dersanala,Undirected,2
Setyaboma,Jembawati,Undirected,1
Dersanala,Bagus,Undirected,1
Guru,Werkudara,Undirected,2
Kresna,Wisanggeni,Undirected,2
Gatotkaca,Setyaki,Undirected,2
Dewasrani,Bagus,Undirected,1
Durga,Wisanggeni,Undirected,2
Durga,Semar,Undirected,1
Guru,Wisanggeni,Undirected,3
Bagong,Arjuna,Undirected,1
Guru,Sadewa,Undirected,1
Arjuna,Werkudara,Undirected,1
Arjuna,Wisanggeni,Undirected,1
Guru,Indra,Undirected,2
Semar,Brahma,Undirected,1
Brahma,Wisanggeni,Undirected,1
Resi,Wisanggeni,Undirected,1
Narada,Guru,Undirected,2
Gareng,Arjuna,Undirected,1
Nakula,Wisanggeni,Undirected,1
Dewasrani,Guru,Undirected,1
Resi,Arjuna,Undirected,2
Nakula,Puntadewa,Undirected,1
Narada,Resi,Undirected,2
Guru,Bagus,Undirected,1
Narada,Petruk,Undirected,1
Petruk,Bagong,Undirected,1
Narada,Wisanggeni,Undirected,1
Samba,Kresna,Undirected,2
Petruk,Resi,Undirected,1
Puntadewa,Kresna,Undirected,1
Indra,Kamajaya,Undirected,1
Durga,Kresna,Undirected,1
Kamajaya,Bagus,Undirected,2
Durga,Dersanala,Undirected,2
Gareng,Bagus,Undirected,1
Kamajaya,Brahma,Undirected,1
Guru,Kresna,Undirected,2
Narada,Wenang,Undirected,1
Nakula,Sadewa,Undirected,1
Guru,Wenang,Undirected,1
Sadewa,Werkudara,Undirected,1
Wenang,Kamajaya,Undirected,1
Guru,Arjuna,Undirected,1
Durga,Kamajaya,Undirected,2
Gareng,Resi,Undirected,1
Arjuna,Bagus,Undirected,2
Gatotkaca,Kresna,Undirected,4
Puntadewa,Sadewa,Undirected,1
Indra,Brahma,Undirected,2
Kresna,Arjuna,Undirected,1
Resi,Werkudara,Undirected,1
Nakula,Guru,Undirected,1
Dersanala,Brahma,Undirected,2
Narada,Kresna,Undirected,1
Gatotkaca,Wisanggeni,Undirected,1
Gatotkaca,Werkudara,Undirected,1
Guru,Brahma,Undirected,2
Narada,Bagong,Undirected,1
Kresna,Dersanala,Undirected,1
Narada,Kamajaya,Undirected,3
Semar,Indra,Undirected,1
Gareng,Bagong,Undirected,1
Kamajaya,Arjuna,Undirected,2
Indra,Wisanggeni,Undirected,1
Dersanala,Arjuna,Undirected,2
Gatotkaca,Puntadewa,Undirected,1
Durga,Indra,Undirected,2
Kamajaya,Resi,Undirected,2
Guru,Kamajaya,Undirected,2
Durga,Guru,Undirected,3
Dersanala,Werkudara,Undirected,1
Petruk,Kamajaya,Undirected,1
Bagong,Kamajaya,Undirected,1
Kresna,Bagus,Undirected,1
Durga,Resi,Undirected,1
Sadewa,Wisanggeni,Undirected,1
Wenang,Resi,Undirected,1
Arjuna,Brahma,Undirected,1
Guru,Puntadewa,Undirected,1
Dewasrani,Kamajaya,Undirected,1
Wisanggeni,Werkudara,Undirected,2
Kamajaya,Werkudara,Undirected,1
Wisanggeni,Bagus,Undirected,1
Bagong,Resi,Undirected,1
Narada,Brahma,Undirected,1
Narada,Indra,Undirected,1
Durga,Wenang,Undirected,1
Dewasrani,Kresna,Undirected,1
Dewasrani,Wenang,Undirected,1
Petruk,Arjuna,Undirected,1
Durga,Arjuna,Undirected,1
Gareng,Petruk,Undirected,1
Dewasrani,Arjuna,Undirected,1
Kresna,Sadewa,Undirected,1
Dewasrani,Wisanggeni,Undirected,1
Dersanala,Wisanggeni,Undirected,2
Wenang,Wisanggeni,Undirected,1
Nakula,Gatotkaca,Undirected,1
Rukmini,Jembawati,Undirected,1
Resi,Bagus,Undirected,2
Wenang,Werkudara,Undirected,1
