Source,Target,Type,Weight
Citrarata,Semar,Undirected,1
Semar,WadyaSetanBekasakan,Undirected,1
SitiSendari,Werkudara,Undirected,1
WadyaGuwagro,Kresna,Undirected,1
Sadewa,Kartamarma,Undirected,8
Banowati,Rama,Undirected,1
Maerah,Baladewa,Undirected,2
Madrim,Basudewa,Undirected,1
Guru,Rukmara,Undirected,1
Petruk,Setyaboma,Undirected,2
Bagaspati,NgembatLandeyan,Undirected,1
WadyaDhandhangMangore,Anoman,Undirected,1
Nakula,Wilawuk,Undirected,1
Samba,Petruk,Undirected,5
Arimbi,Durandara,Undirected,1
Sadewa,Togog,Undirected,1
Werkudara,Narada,Undirected,9
Antaboga,Duryudana,Undirected,1
RaraIreng,Ratmuka,Undirected,1
Baladewa,Brahma,Undirected,1
Baladewa,Sambuh,Undirected,1
Antakawulan,WadyaDhandangMangore,Undirected,1
WadyaTawanggantungan,Abimanyu,Undirected,1
Gatotkaca,Anoman,Undirected,9
Pradapa,Nakula,Undirected,1
Parasara,Duryudana,Undirected,1
Dewasrani,Durga,Undirected,2
Antareja,Kresna,Undirected,5
Barata,Kanastren,Undirected,1
Asmarawati,Dhamdharat,Undirected,1
Sangkara,Yudhistira,Undirected,1
Bagong,TunggulWulung,Undirected,1
Panyarikan,Iswara,Undirected,1
Bayu,Semar,Undirected,1
Banowati,Sugriwa,Undirected,1
WadyaSetanBekasakan,WadyaGuwaSari,Undirected,1
Pancawala,Tambrapeta,Undirected,1
Durandara,Duryudana,Undirected,1
Ugrasena,Semar,Undirected,3
Arjuna,WadyaSetanBekasakan,Undirected,1
Baladewa,Abiyasa,Undirected,1
Wisanggeni,Abimanyu,Undirected,2
Kurandhayaksa,YudaKothi,Undirected,1
Drupadi,Nakula,Undirected,1
Nakula,Setyaki,Undirected,3
Dewaki,YudaKothi,Undirected,1
Kresna,Basudewa,Undirected,1
Mahadewa,Bendana,Undirected,1
Sadewa,Wilawuk,Undirected,1
Gendari,RatuSewuNagari,Undirected,1
Udawa,Duryudana,Undirected,3
Jembawati,Brahma,Undirected,1
Surya,Semar,Undirected,1
Bomanarakasura,Samba,Undirected,1
LesmanaMandrakumara,Puntadewa,Undirected,3
Durna,Panyarikan,Undirected,1
Iswara,Indra,Undirected,1
Durga,Wenang,Undirected,1
JayaBajra,Gorawangsa,Undirected,1
WadyaGuwaSiluman,Duryudana,Undirected,1
Karna,NemburNawa,Undirected,1
Soka,Kunti,Undirected,1
Gareng,Semar,Undirected,17
Werkudara,Bhisma,Undirected,1
Durna,Narada,Undirected,6
Baladewa,RaraIreng,Undirected,1
Badrahini,Salya,Undirected,1
Gatotkaca,Bisawarna,Undirected,2
Bisawarna,Kartamarma,Undirected,1
Bisawarna,Sadewa,Undirected,1
Setyaki,Anoman,Undirected,4
Dewaki,Pandu,Undirected,1
Anoman,Bantala,Undirected,1
Ugrasena,WadyaGuwagro,Undirected,1
Kunti,Destarastra,Undirected,1
Kuntiboja,Salya,Undirected,1
Ugrasena,Baladewa,Undirected,2
Barata,Petruk,Undirected,1
Guru,Kalika,Undirected,1
Guru,WadyaRotaDenawaDwarawati,Undirected,1
Bagong,JayaBajra,Undirected,1
Udawa,TumenggungAstina,Undirected,1
WadyaDwarawti,Korawa,Undirected,1
Petruk,Setyaki,Undirected,4
Mahadewa,Sekipu,Undirected,1
NemburNawa,Kresna,Undirected,1
Udawa,TunggulWulung,Undirected,1
Karna,SaudaraBayu,Undirected,1
Guru,Arjuna,Undirected,8
Baladewa,Maheswara,Undirected,1
Kunti,DewaRuci,Undirected,1
Abiyasa,Nakula,Undirected,3
Soka,Kartamarma,Undirected,1
Gareng,Antasena,Undirected,1
SuratiMantra,Bismaka,Undirected,1
