Source,Target,Type,Weight
Citrarata,Semar,Undirected,1
SitiSendari,Werkudara,Undirected,1
Gareng,KencanaWulan,Undirected,1
Sadewa,Kartamarma,Undirected,8
Durna,Kesawasidhi,Undirected,1
Banowati,Rama,Undirected,1
Maerah,Baladewa,Undirected,2
Madrim,Basudewa,Undirected,1
Guru,Rukmara,Undirected,1
Petruk,Setyaboma,Undirected,2
Bagaspati,NgembatLandeyan,Undirected,1
Nakula,Wilawuk,Undirected,1
Samba,Petruk,Undirected,5
Woman,Arjuna,Undirected,1
Sadewa,Togog,Undirected,1
Durna,Rarawangen,Undirected,1
Werkudara,Narada,Undirected,10
Antaboga,Duryudana,Undirected,1
RaraIreng,Ratmuka,Undirected,1
Baladewa,Brahma,Undirected,1
Baladewa,Sambuh,Undirected,1
Raksasa,Nindyamaya,Undirected,1
Gatotkaca,Anoman,Undirected,9
Petruk,Brahala,Undirected,2
Pradapa,Nakula,Undirected,1
Parasara,Duryudana,Undirected,1
Dewasrani,Durga,Undirected,2
Antareja,Kresna,Undirected,5
Barata,Kanastren,Undirected,1
Asmarawati,Dhamdharat,Undirected,1
Bagong,TunggulWulung,Undirected,1
Banowati,Sugriwa,Undirected,1
Kalanjaya,Nakula,Undirected,1
Duryudana,BayuBajra,Undirected,1
Ugrasena,Semar,Undirected,3
Baladewa,Abiyasa,Undirected,1
Kurandhayaksa,YudaKothi,Undirected,1
Drupadi,Nakula,Undirected,1
Nakula,Setyaki,Undirected,3
Karna,Sintawaka,Undirected,1
Dewaki,YudaKothi,Undirected,1
Rarawangen,Petruk,Undirected,1
Mahadewa,Bendana,Undirected,1
Sadewa,Wilawuk,Undirected,1
Udawa,Duryudana,Undirected,3
Jembawati,Brahma,Undirected,1
Amonggati,Nindyamaya,Undirected,1
Banowati,Ratmuka,Undirected,1
LesmanaMandrakumara,Puntadewa,Undirected,3
Parasara,Nindyamaya,Undirected,1
Durna,Panyarikan,Undirected,1
Narada,BayuBajra,Undirected,1
Iswara,Indra,Undirected,1
Sengkuni,Sinduragen,Undirected,1
Karna,NemburNawa,Undirected,1
Soka,Kunti,Undirected,1
Gareng,Semar,Undirected,17
Werkudara,Bhisma,Undirected,1
Durna,Narada,Undirected,7
Badrahini,Salya,Undirected,1
Gatotkaca,Bisawarna,Undirected,2
Bisawarna,Kartamarma,Undirected,1
Bisawarna,Sadewa,Undirected,1
Setyaki,Anoman,Undirected,4
Rukmini,Resi,Undirected,1
Anoman,Bantala,Undirected,1
Kunti,Destarastra,Undirected,1
Kuntiboja,Salya,Undirected,1
Ugrasena,Baladewa,Undirected,2
Barata,Petruk,Undirected,1
Guru,Kalika,Undirected,1
Bagong,JayaBajra,Undirected,1
Jembawati,Baladewa,Undirected,1
Petruk,Setyaki,Undirected,4
Mahadewa,Sekipu,Undirected,1
NemburNawa,Kresna,Undirected,1
Iswara,Wisnu,Undirected,1
Udawa,TunggulWulung,Undirected,1
Guru,Arjuna,Undirected,8
Kunti,DewaRuci,Undirected,1
Abiyasa,Nakula,Undirected,3
Gareng,Antasena,Undirected,1
SuratiMantra,Bismaka,Undirected,1
Petruk,Gendari,Undirected,2
Banowati,Wisanggeni,Undirected,2
Saragupita,Basudewa,Undirected,2
TunggulWulung,Abiyasa,Undirected,1
Mandrakeswara,Pandu,Undirected,1
Bismaka,Indra,Undirected,3
Brajadhenta,Semar,Undirected,1
Petruk,Nagagini,Undirected,1
Soka,Durga,Undirected,1
Drestarastra,Yudhistira,Undirected,1
Sadewa,Bendana,Undirected,3
Sadewa,Anoman,Undirected,8
Sadewa,Dhandhang,Undirected,1
Banowati,Kartamarma,Undirected,10
Bagong,Udawa,Undirected,2
Guru,Citrasena,Undirected,1
Durna,Padmanaba,Undirected,1
Karna,Pandu,Undirected,1
Sintawaka,Nakula,Undirected,1
Gatotkaca,Setyaboma,Undirected,2
Ramaparasu,Gatotkaca,Undirected,1
Soka,Citrasena,Undirected,1
Petruk,NagaSewu,Undirected,1
Kunti,Raksasa1,Undirected,1
Wenang,Brahma,Undirected,1
Nakula,Puntadewa,Undirected,14
Hagni,Kresna,Undirected,1
Sadewa,Brahala,Undirected,2
Sri,Yamadipati,Undirected,1
Kurandhayaksa,Bagong,Undirected,1
Semar,Badrahini,Undirected,2
Bayu,Arimbi,Undirected,1
Narada,NagaSewu,Undirected,1
Panyarikan,Baladewa,Undirected,1
Bismaka,Gendara,Undirected,1
LesmanaMurdaka,Kartamarma,Undirected,1
Maruta,Kumbakarna,Undirected,1
YudaKothi,Surtikanthi,Undirected,1
Sengkalawati,Anoman,Undirected,1
Bendana,Abimanyu,Undirected,1
Maheswara,Pracona,Undirected,1
Jembawati,Petruk,Undirected,2
Bomanarakasura,Jembawati,Undirected,1
Gareng,Bismaka,Undirected,4
YudaKothi,Gareng,Undirected,1
Pancawala,Kartamarma,Undirected,1
Erawati,Nagaprasanta,Undirected,1
TunggulWulung,Petruk,Undirected,1
Guru,Pradapa,Undirected,1
Bagaspati,Madrim,Undirected,1
Jembawati,Nakula,Undirected,1
Pujawati,Kunti,Undirected,1
Kalantaka,Puntadewa,Undirected,1
Karna,Bagong,Undirected,5
Saragupita,Salya,Undirected,1
Pujawati,Gendara,Undirected,1
Dewasrani,Narada,Undirected,2
Bomanarakasura,Godhayitma,Undirected,2
Woman,Narada,Undirected,1
Banowati,Wibisana,Undirected,1
Kunti,Kuntiboja,Undirected,1
Bratajaya,Salya,Undirected,1
Tiger,Antaboga,Undirected,1
Bagong,Mangsahpati,Undirected,2
Sadewa,RaraIreng,Undirected,2
Puntadewa,Bantala,Undirected,1
Rukmini,Nakula,Undirected,2
Sengkuni,Antareja,Undirected,4
Pulungsari,Prasara,Undirected,1
RaraTemon,Kresna,Undirected,2
Dewasrani,Antareja,Undirected,1
Guard,Godakesa,Undirected,1
Kartapiyoga,Bismaka,Undirected,1
Kalantaka,Durga,Undirected,1
Sadewa,GagakBaka,Undirected,1
Werkudara,Dhandhang,Undirected,1
LesmanaMandrakumara,Duryudana,Undirected,3
Dewasrani,Sengkuni,Undirected,1
Bagong,Banowati,Undirected,6
Kangsa,Kresna,Undirected,1
Wenang,Nindyamaya,Undirected,1
Sengkalawati,Kartamarma,Undirected,1
Abiyasa,Raksasa1,Undirected,1
