Source,Target,weight
Citrarata,Semar,2.0
SitiSendari,Werkudara,2.0
Gareng,KencanaWulan,1.0
Sadewa,Kartamarma,8.0
Banowati,Rama,1.0
Maerah,Baladewa,2.0
Madrim,Basudewa,1.0
Guru,Rukmara,1.0
Petruk,Setyaboma,2.0
Bagaspati,NgembatLandeyan,1.0
Nakula,Wilawuk,2.0
Samba,Petruk,6.0
Sadewa,Togog,1.0
Werkudara,Narada,11.0
Antaboga,Duryudana,1.0
RaraIreng,Ratmuka,1.0
Baladewa,Brahma,1.0
Baladewa,Sambuh,1.0
Gatotkaca,Anoman,14.0
Pradapa,Nakula,2.0
Parasara,Duryudana,1.0
Dewasrani,Durga,5.0
Antareja,Kresna,9.0
Barata,Kanastren,2.0
Bagong,TunggulWulung,1.0
Banowati,Sugriwa,1.0
Pancawala,Tambrapeta,1.0
Ugrasena,Semar,3.0
Baladewa,Abiyasa,1.0
Kurandhayaksa,YudaKothi,1.0
Drupadi,Nakula,1.0
Banowati,WulanDremi,1.0
Dewaki,YudaKothi,1.0
Mahadewa,Bendana,1.0
Sadewa,Wilawuk,2.0
Udawa,Duryudana,3.0
Jembawati,Brahma,1.0
Bomanarakasura,Samba,2.0
LesmanaMandrakumara,Puntadewa,3.0
Durna,Panyarikan,1.0
Iswara,Indra,1.0
Durga,Wenang,2.0
Karna,NemburNawa,1.0
Soka,Kunti,1.0
Gareng,Semar,33.0
Werkudara,Bhisma,2.0
Durna,Narada,6.0
Badrahini,Salya,1.0
Gatotkaca,Bisawarna,2.0
Bisawarna,Kartamarma,1.0
Bisawarna,Sadewa,1.0
Setyaki,Anoman,7.0
Dewaki,Pandu,2.0
Anoman,Bantala,1.0
Kunti,Destarastra,2.0
Kuntiboja,Salya,1.0
Ugrasena,Baladewa,2.0
Barata,Petruk,1.0
Guru,Kalika,2.0
Bagong,JayaBajra,1.0
Jembawati,Baladewa,1.0
Petruk,Setyaki,5.0
Mahadewa,Sekipu,1.0
NemburNawa,Kresna,1.0
Iswara,Wisnu,2.0
Udawa,TunggulWulung,1.0
Guru,Arjuna,13.0
Kunti,DewaRuci,1.0
Abiyasa,Nakula,4.0
Gareng,Antasena,1.0
SuratiMantra,Bismaka,2.0
Petruk,Gendari,2.0
Banowati,Wisanggeni,2.0
Saragupita,Basudewa,4.0
TunggulWulung,Abiyasa,1.0
Mandrakeswara,Pandu,1.0
Bismaka,Indra,3.0
Brajadhenta,Semar,1.0
Petruk,Nagagini,1.0
Soka,Durga,1.0
Drestarastra,Yudhistira,1.0
Sadewa,Bendana,4.0
Sadewa,Anoman,8.0
Sadewa,Dhandhang,2.0
Banowati,Kartamarma,10.0
Guru,Citrasena,2.0
Durna,Padmanaba,1.0
Karna,Pandu,1.0
Gatotkaca,Setyaboma,2.0
Ramaparasu,Gatotkaca,3.0
Soka,Citrasena,2.0
Wenang,Brahma,1.0
Nakula,Puntadewa,30.0
Hagni,Kresna,1.0
Arjuna,Dhamdharat,4.0
Sri,Yamadipati,1.0
Kurandhayaksa,Bagong,1.0
Semar,Badrahini,2.0
Bayu,Arimbi,2.0
Panyarikan,Baladewa,1.0
LesmanaMurdaka,Kartamarma,1.0
Maruta,Kumbakarna,2.0
YudaKothi,Surtikanthi,1.0
Sengkalawati,Anoman,1.0
Bendana,Abimanyu,2.0
Maheswara,Pracona,1.0
Jembawati,Petruk,2.0
Bomanarakasura,Jembawati,1.0
Gareng,Bismaka,4.0
YudaKothi,Gareng,1.0
Pancawala,Kartamarma,1.0
Erawati,Nagaprasanta,1.0
TunggulWulung,Petruk,1.0
Guru,Pradapa,2.0
Bagaspati,Madrim,1.0
Karna,Bagong,6.0
Saragupita,Salya,1.0
Pujawati,Gendara,1.0
Dewasrani,Narada,3.0
Bomanarakasura,Godhayitma,5.0
Banowati,Wibisana,1.0
Kunti,Kuntiboja,2.0
Bratajaya,Salya,1.0
Bagong,Mangsahpati,2.0
Sadewa,RaraIreng,2.0
Wenang,Antasena,2.0
Puntadewa,Bantala,1.0
Rukmini,Nakula,2.0
Sengkuni,Antareja,5.0
Pulungsari,Prasara,1.0
Dewasrani,Antareja,1.0
Kartapiyoga,Bismaka,1.0
Sadewa,GagakBaka,1.0
Werkudara,Dhandhang,2.0
LesmanaMandrakumara,Duryudana,6.0
Dewasrani,Sengkuni,1.0
Bagong,Banowati,6.0
Sengkalawati,Kartamarma,1.0
Werkudara,Bendana,4.0
